municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,9,9
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,30,30
ACHOCALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,30,30
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,479,479
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,9,9
ALTO BENI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,85,85
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,77,77
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,210,210
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,12,12
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,61,61
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,59,59
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,105,105
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,55,55
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,110,110
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,39,39
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,103,103
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,130,130
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,33,33
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,113,113
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,108,108
BERMEJO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,63,63
BETANZOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,311,311
BOLPEBRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,165,165
BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,233,233
CABEZAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,225,225
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,102,102
CALAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,36,36
