municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,14,14
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,21,21
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,50,50
APOLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,5,5
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,39,39
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,6,6
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,7,7
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,47,47
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,26,26
CAJUATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,30,30
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,33,33
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,5,5
CAMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,10,10
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,39,39
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,18,18
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,17,17
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,16,16
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,127,127
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,35,35
CHIMORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,55,55
CHIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
CHUMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,10,10
COBIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,6,6
COCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,14,14
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,10,10
COLLANA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,6,6
COLQUECHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,24,24
COLQUENCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
COMARAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,8,8
CONCEPCION,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,17,17
COTAGAITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,13,13
COTOCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,8,8
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,6,6
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,23,23
DESAGUADERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,434,434
EL CHORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,7,7
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,17,17
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,50,50
EL TORNO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,75,75
EL VILLAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,19,19
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,56,56
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,22,22
ESCOMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,19,19
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,19,19
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
GUTIERREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
HUACARETA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,9,9
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
HUANUNI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,23,23
HUARINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,15,15
ICLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,39,39
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,10,10
LA GUARDIA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,65,65
LA PAZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,86,86
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,7,7
LAJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,39,39
LLALLAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
MACHACAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,12,12
MACHARETI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
MAGDALENA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
MECAPACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,8,8
MINEROS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,12,12
MIZQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,16,16
MOCOMOCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,6,6
MOJOCOYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,26,26
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,19,19
MONTERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,42,42
MORO MORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,24,24
MOROCHATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
OCURI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,12,12
OKINAWA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
OMEREQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
ORURO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,887,887
PADCAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,13,13
PADILLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,39,39
PAILON,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,25,25
PALCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,280,280
PASORAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
POCOATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,12,12
POCONA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,12,12
POOPO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,10,10
PORCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
POROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,14,14
PORONGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,12,12
POTOSI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,80,80
PRESTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,44,44
PUCARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,79,79
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,22,22
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,12,12
PUNA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,40,40
PUNATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,21,21
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,8,8
QUIME,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
RAVELO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,9,9
REYES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,7,7
ROBORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,29,29
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
SABAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
SACABA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,8,8
SACABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
SACACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,40,40
SAIPINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,5,5
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,8,8
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,9,9
SAN BENITO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,16,16
SAN BORJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,47,47
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,7,7
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,81,81
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,27,27
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,41,41
SAN MATIAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,20,20
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,9,9
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
SAN PEDRO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,31,31
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,61,61
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,31,31
SANTA ANA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,877,877
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
SANTIVAÑES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,17,17
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,7,7
SHINAOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,9,9
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
SIPE SIPE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,12,12
SOPACHUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,5,5
SORACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,10,10
SORATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,37,37
TACACOMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
TACOBAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,21,21
TAPACARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
TARABUCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,13,13
TARACO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
TARATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,17,17
TARIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,81,81
TARVITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,49,49
TIAWANACU,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,24,24
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,32,32
TOCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,13,13
TOLATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,4,4
TOMINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,24,24
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,25,25
TRINIDAD,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3107,3107
TUPIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,9,9
UNCIA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,5,5
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,61,61
UYUNI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,17,17
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,17,17
VIACHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,40,40
VILLA CHARCAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,11,11
VILLA MONTES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,5,5
VILLA RIVERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,2,2
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,42,42
VILLAZON,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,27,27
VINTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,33,33
VITICHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,11,11
WARNES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,18,18
YACUIBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,108,108
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,25,25
YANACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,11,11
YAPACANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,17,17
YOTALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,3,3
YUNCHARA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-01-01,36,36
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,3,3
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,22,22
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,16,16
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,3,3
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,40,40
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,4,4
APOLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,3,3
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,5,5
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,6,6
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,39,39
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,3,3
AUCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,2,2
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,4,4
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,1,1
BAURES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,27,27
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2017-02-01,9,9
