municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
APOLO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,4,4
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,2,2
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,1,1
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,17,17
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,2,2
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,1,1
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,2,2
POJO (CBBA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,4,4
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,2,2
TARATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2017-01-01,3,3
