municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,74,74
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,126,126
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,15,15
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,443,443
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,13,13
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,9,9
ALTO BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,15,15
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,237,237
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,68,68
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,134,134
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,8,8
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,102,102
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,59,59
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,317,317
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,114,114
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,240,240
AYATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,11,11
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,94,94
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,46,46
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,111,111
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,115,115
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,14,14
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,74,74
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,43,43
BERMEJO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,100,100
BETANZOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,406,406
BOLIVAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,42,42
BOLPEBRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,209,209
BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,246,246
CABEZAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,175,175
CAIROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,19,19
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,144,144
CALAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,68,68
CAMARGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,198,198
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,76,76
CAMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,345,345
CAPINOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,315,315
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,26,26
CARACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,193,193
CARANAVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,80,80
CARANGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,21,21
CARIPUYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,42,42
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,18,18
CATACORA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,21,21
CHACARILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,55,55
CHALLAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,631,631
CHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,94,94
CHARAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,121,121
CHAYANTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,17,17
CHIMORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,342,342
CHIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,8,8
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,26,26
CHUA COCANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,14,14
CHUMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,362,362
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,58,58
CLIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,211,211
COBIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,237,237
COCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,47,47
COCHABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2017-01-01,112,112
