municipality,group,variable,month,N° de auditorias internas en salud en aplicación de norma técnica,TOTAL
APOLO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,2,2
AYATA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,3,3
COCHABAMBA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
COMARAPA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,7,7
COTAGAITA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
HUACHACALLA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
ICLA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,12,12
LA PAZ,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,6,6
MOJOCOYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,9,9
MONTEAGUDO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,2,2
ORURO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,11,11
PADCAYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,2,2
PADILLA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,6,6
PRESTO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,9,9
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,2,2
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,21,21
TARABUCO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,12,12
TARIJA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,4,4
TARVITA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,9,9
VILLA MONTES,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,7,7
VILLA TUNARI,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,5,5
YAMPARAEZ,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,10,10
YOTALA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,3,3
ZUDAÑEZ,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-01-01,7,7
APOLO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,15,15
CLIZA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,6,6
ICLA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,12,12
LA PAZ,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,5,5
LLALLAGUA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,9,9
PADCAYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,3,3
PADILLA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,2,2
PRESTO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,9,9
RAVELO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,3,3
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,2,2
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,30,30
TACOPAYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
TARABUCO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,12,12
TARIJA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,8,8
TINGUIPAYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,18,18
VILLA TUNARI,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,4,4
YAMPARAEZ,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,10,10
YOTALA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,3,3
ZUDAÑEZ,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-02-01,7,7
ALCALA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,2,2
APOLO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,1,1
ARQUE,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,1,1
AYATA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,12,12
BETANZOS,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,3,3
CHAQUI,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,2,2
CKOCHAS,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,6,6
COCHABAMBA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2017-03-01,3,3
