municipality,group,variable,month,Nº de familias nuevas carpetizadas durante el periódo,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,1,1
AIQUILE,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,104,104
ALALAY,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,2,2
ALTO BENI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,8,8
ANCORAIMES,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,10,10
APOLO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,10,10
ARANI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,20,20
ARBIETO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,9,9
ARQUE,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,23,23
AUCAPATA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,6,6
AYATA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,181,181
AYO AYO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,11,11
BATALLAS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,5,5
BAURES,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,10,10
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,2,2
BELLA FLOR,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,37,37
BETANZOS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,45,45
BOLPEBRA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,184,184
BUENA VISTA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,6,6
CABEZAS,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,8,8
CALAMARCA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,17,17
CAMIRI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,163,163
CAPINOTA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,8,8
CARACOLLO,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,11,11
CARANAVI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,113,113
CARAPARI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,6,6
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,31,31
CHALLAPATA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,40,40
CHAQUI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,3,3
CHARAGUA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,53,53
CHAYANTA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,8,8
CHIMORE,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,124,124
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,5,5
COBIJA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,21,21
COCHABAMBA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,48,48
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,154,154
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de familias nuevas carpetizadas durante el periodo,2017-01-01,15,15
