,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1,3,4
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2011-01-01,3,8,11
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2011-01-01,13,37,50
BAURES,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1,4,5
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,3,66,69
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,10,25,35
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,24,48,72
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,5,5
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,2,26,28
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,3,3
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1,10,11
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2011-01-01,3,4,7
COBIJA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,31,89,120
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1335,2330,3665
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,45,44,89
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,14,14
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1,15,16
COROICO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,4,18,22
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1,1,2
COTOCA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,2,2
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,383,722,1105
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,18,30,48
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,1,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2011-01-01,51,69,120
HUARACAJE,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,2,2
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1352,1659,3011
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,5,25,30
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,5,5
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,14,14
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,16,32,48
MONTERO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,40,136,176
ORURO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,302,425,727
PADILLA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,5,26,31
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,17,45,62
POTOSI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,327,529,856
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2011-01-01,41,53,94
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2011-01-01,52,43,95
PUNATA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,12,49,61
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,3,42,45
REYES,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,6,6
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,52,117,169
ROBORE,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,13,13
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2011-01-01,2,7,9
SACABA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,4,68,72
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,13,13
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,6,24,30
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1,7,8
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2011-01-01,2,20,22
