,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1,3,4
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,8,11
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,11,14
BAURES,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1,3,4
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,27,30
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,10,25,35
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,21,40,61
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,5,5
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,2,26,28
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,3,3
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1,10,11
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,4,7
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,31,89,120
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1228,2129,3357
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,45,44,89
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,14,14
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1,15,16
COROICO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,2,12,14
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,1,1
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,2,2
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,383,711,1094
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,18,30,48
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,1,1
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,17,64,81
HUARACAJE,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,2,2
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1149,1444,2593
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,5,25,30
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,5,5
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,14,14
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,16,20,36
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,40,136,176
ORURO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,302,425,727
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,5,26,31
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,17,45,62
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,134,201,335
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,32,26,58
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,16,18,34
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,12,49,61
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,42,45
REYES,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,6,6
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,52,117,169
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,13,13
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,2,7,9
SACABA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,39,42
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,13,13
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,6,24,30
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1,7,8
