municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,2,2
ACHACACHI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,29,29
ACHOCALLA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,8,8
AIQUILE,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,41,41
ALCALA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,7,7
ALTO BENI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,3,3
ANCORAIMES,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,4,4
ANDAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
ANTEQUERA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
APOLO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
ARAMPAMPA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,2,2
ARANI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,8,8
ARBIETO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,8,8
ARQUE,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,6,6
ASCENCION DE GUARAYOS,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,29,29
ATOCHA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,45,45
AYATA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,2,2
AYO AYO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,17,17
AZURDUY,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
BATALLAS,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,4,4
BAURES,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,3,3
BELEN DE ANDAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,2,2
BERMEJO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,36,36
BETANZOS,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,26,26
BOLIVAR,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
BOLPEBRA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,2,2
BOYUIBE,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,7,7
BUENA VISTA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,21,21
CABEZAS,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,11,11
"CAIZA ""D""",referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,6,6
CAJUATA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,6,6
CALACOTO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
CALAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,35,35
CAMARGO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,24,24
CAMATAQUI (C. VILLA ABECIA),referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,6,6
CAMIRI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,57,57
CAPINOTA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,34,34
CAQUIAVIRI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,6,6
CARACOLLO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,11,11
CARANAVI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,34,34
CARAPARI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,10,10
CARIPUYO,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,4,4
CARMEN RIVERO TORREZ,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
CATACORA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,1,1
CHALLAPATA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,36,36
CHAQUI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,4,4
CHARAGUA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,22,22
CHAYANTA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,13,13
CHIMORE,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,25,25
CHOQUE COTA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,2,2
CHUMA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,2,2
CLIZA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,43,43
COBIJA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,105,105
COCAPATA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,10,10
COCHABAMBA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,275,275
COLCAPIRHUA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,25,25
"COLCHA ""K""",referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,5,5
COLLANA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,2,2
COLOMI,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,23,23
COLPA BELGICA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,53,53
COLQUECHACA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,12,12
COLQUENCHA,referencias y retornos,pacientes referidos a otros establecimientos,2012-01-01,3,3
