municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ACHOCALLA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,58,58
APOLO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,2,2
AZURDUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,8,8
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,2,2
CARIPUYO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,3,3
COMARAPA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,2,2
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,5,5
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
ICLA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,4,4
LA GUARDIA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,16,16
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
MONTEAGUDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
ORURO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,10,10
PADCAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,2,2
SAIPINA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
SAN BENITO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,13,13
SAN LORENZO(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,4,4
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,3,3
SICA SICA (VILLA AROMA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
TIQUIPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,1,1
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2012-01-01,2,2
