municipality,group,variable,month,Pacientes retornados al establecimiento de origen,TOTAL
ACHACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
ANCORAIMES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
ARAMPAMPA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
BAURES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,4,4
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
"CAIZA ""D""",referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
CALACOTO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
CAMARGO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
CAMIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
CARANAVI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
CHIMORE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,58,58
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,7,7
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,19,19
COLQUIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
CONCEPCION,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
COROICO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,4,4
CUATRO CAÑADAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,8,8
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,5,5
EL PUENTE(STC),referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,4,4
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,6,6
ICLA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
IRUPANA (VILLA DE LANZA),referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,175,175
LAS CARRERAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
LURIBAY,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,7,7
MACHACAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,4,4
MAIRANA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,68,68
MOROCHATA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
OCURI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,5,5
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,170,170
PADCAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,5,5
POCOATA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
PORONGO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,42,42
PUERTO GONZALO MORENO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
PUERTO VILLARROEL,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
PUNA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
PUNATA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
QUIABAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,33,33
ROBORE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,17,17
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,4,4
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
SAN ANDRES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
SAN IGNACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,40,40
SAN JAVIER(BNI),referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
SAN JULIAN,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,5,5
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,18,18
SANTA ROSA DEL SARA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
SENA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,4,4
SHINAOTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
SICA SICA (VILLA AROMA),referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
SOPACHUY,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,203,203
TACOPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
TAPACARI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
TARATA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,7,7
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,6,6
TIQUIPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
TOMAVE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
TOMINA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,5,5
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,21,21
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,35,35
TURCO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
VACAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,1,1
VALLEGRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
VILLA SERRANO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,3,3
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,35,35
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
VITICHI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,2,2
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,5,5
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,76,76
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-01-01,4,4
ACHACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
ALTO BENI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
ARBIETO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,5,5
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
CAIROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
CALAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
CARIPUYO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,55,55
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,35,35
COLQUIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,5,5
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
CONCEPCION,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
COROICO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,9,9
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,9,9
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,5,5
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,15,15
ENTRE RIOS TRJ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
ESCARA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
EUCALIPTUS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,4,4
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,6,6
JESUS DE MACHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
LA ASUNTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,207,207
LAJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
LORETO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
LURIBAY,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,4,4
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,6,6
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,104,104
MOROCHATA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
OMEREQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,110,110
PADCAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
PALOS BLANCOS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
PORONGO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,82,82
PUCARANI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
PUERTO GONZALO MORENO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
PUERTO VILLARROEL,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
PUNA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
QUIRUSILLAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,22,22
ROBORE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,25,25
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,6,6
SACACA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
SAN ANDRES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
SAN BENITO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,4,4
SAN BORJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,4,4
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,6,6
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,22,22
SAN JAVIER(BNI),referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
SAN JOAQUIN,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
SAN JULIAN,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,28,28
SAPAHAQUI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
SENA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
SICAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,171,171
TACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
TAPACARI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,38,38
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,11,11
TOMAVE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
TOMINA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
TORO TORO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,65,65
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,39,39
VILLA MONTES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,1,1
VILLA SERRANO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
