municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
EL ALTO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,3,3
LA PAZ,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,59,59
MAPIRI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,3,3
POTOSI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,1,1
SACABA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,0,0
SUCRE,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,1,1
TARATA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,1,1
VILLA TUNARI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-01-01,1,1
EL ALTO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-02-01,1,1
MACHARETI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-02-01,1,1
PUNATA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-02-01,2,2
SAN BORJA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-02-01,11,11
SAN JULIAN,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-02-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-02-01,2,2
TARIJA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-02-01,55,55
COCHABAMBA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,2,2
CUATRO CAÑADAS,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,3,3
EL ALTO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,2,2
EL TORNO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,1,1
LA PAZ,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,5,5
MORO MORO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,1,1
QUIABAYA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,4,4
TARATA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,3,3
VILLAZON,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-03-01,1,1
COLCAPIRHUA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-04-01,1,1
EL ALTO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-04-01,2,2
LA PAZ,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-04-01,1,1
LORETO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-04-01,44,44
MACHARETI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2012-04-01,1,1
