,group,variable,month,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAJUATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,0,0,0,3,0,3,3
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,1,1,1,1,2,2,4
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,8,8,5,5,13,13,26
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,2,1,1,0,3,1,4
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,0,0,0,1,0,1,1
COCHABAMBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,1,0,0,0,1,0,1
CORIPATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,0,1,0,1,0,2,2
COROICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,2,2,0,0,2,2,4
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,4,1,6,1,10,2,12
ENTRE RIOS CBBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,1,0,0,1,1,1,2
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,1,0,0,0,1,0,1
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,2,1,0,0,2,1,3
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,0,1,1,3,1,4,5
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,5,2,2,3,7,5,12
