,group,variable,month,L 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,L 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,L 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,L 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANZALDO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-01-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-01-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-01-01,1,0,0,0,1,0,1
RURRENABAQUE,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-01-01,0,0,0,0,0,0,0
VILLA TUNARI,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-01-01,1,0,0,0,1,0,1
ANZALDO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-02-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-02-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-02-01,0,0,2,0,2,0,2
COBIJA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-03-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-03-01,0,0,0,1,0,1,1
ORURO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-03-01,1,0,0,0,1,0,1
YANACACHI,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-03-01,0,1,0,0,0,1,1
LA ASUNTA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-04-01,1,0,0,0,1,0,1
ORURO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-04-01,0,0,1,0,1,0,1
YANACACHI,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-04-01,0,0,0,1,0,1,1
CORIPATA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-05-01,0,0,0,2,0,2,2
LA ASUNTA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-05-01,0,0,1,0,1,0,1
REYES,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-05-01,1,0,1,0,2,0,2
EL TORNO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-06-01,7,0,4,0,11,0,11
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-06-01,1,0,0,0,1,0,1
ANZALDO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-07-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-07-01,0,0,2,0,2,0,2
GUAYARAMERIN,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-07-01,3,0,0,0,3,0,3
SAN LORENZO(PND),leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-07-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-08-01,2,0,0,0,2,0,2
COBIJA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-08-01,5,0,1,0,6,0,6
INGAVI (HUMAITA),leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-08-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-08-01,1,0,1,0,2,0,2
RURRENABAQUE,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-08-01,1,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-08-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-09-01,0,0,1,0,1,0,1
GUAYARAMERIN,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-09-01,3,0,1,0,4,0,4
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-09-01,0,2,0,0,0,2,2
SAN BORJA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-09-01,0,1,0,1,0,2,2
SAN IGNACIO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-09-01,1,0,2,0,3,0,3
