,group,variable,month,L 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,L 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,L 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,L 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COROICO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,6,0,1,0,7,0,7
GUAYARAMERIN,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,0,0,1,0,1,0,1
PUERTO GONZALO MORENO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,0,1,0,0,0,1,1
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,1,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,0,0,0,0,0,0,0
VILLA TUNARI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-01-01,1,0,0,1,1,1,2
AYATA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-02-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-02-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-02-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-02-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-02-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-02-01,0,1,0,0,0,1,1
