,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 5 anos y mas,2021-01-01,3,5,0,0,3,5,8
COBIJA,malaria,de 5 anos y mas,2021-01-01,3,1,0,0,3,1,4
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2021-01-01,2,7,0,0,2,7,9
FILADELFIA,malaria,de 5 anos y mas,2021-01-01,0,2,0,0,0,2,2
INGAVI (HUMAITA),malaria,de 5 anos y mas,2021-01-01,2,2,0,0,2,2,4
IXIAMAS,malaria,de 5 anos y mas,2021-01-01,15,14,0,0,15,14,29
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2021-01-01,21,8,0,0,21,8,29
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2021-01-01,34,17,0,0,34,17,51
PORVENIR,malaria,de 5 anos y mas,2021-01-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2021-01-01,5,0,0,0,5,0,5
PUERTO RICO,malaria,de 5 anos y mas,2021-01-01,81,47,0,0,81,47,128
PUNATA,malaria,de 5 anos y mas,2021-01-01,1,0,0,0,1,0,1
REYES,malaria,de 5 anos y mas,2021-01-01,1,1,0,1,1,2,3
RIBERALTA,malaria,de 5 anos y mas,2021-01-01,161,132,1,2,162,134,296
SAN LORENZO(PND),malaria,de 5 anos y mas,2021-01-01,24,13,0,0,24,13,37
SANTA ROSA,malaria,de 5 anos y mas,2021-01-01,7,5,0,0,7,5,12
SENA,malaria,de 5 anos y mas,2021-01-01,40,26,0,0,40,26,66
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2021-01-01,3,0,0,1,3,1,4
BELLA FLOR,malaria,de 5 anos y mas,2021-02-01,11,1,0,0,11,1,12
COBIJA,malaria,de 5 anos y mas,2021-02-01,4,0,0,0,4,0,4
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2021-02-01,0,1,0,0,0,1,1
FILADELFIA,malaria,de 5 anos y mas,2021-02-01,2,0,0,0,2,0,2
