,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-01-01,4,3,0,0,4,3,7
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2021-01-01,2,4,0,0,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2021-01-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2021-01-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-01-01,2,1,0,0,2,1,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-01-01,7,5,0,0,7,5,12
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-01-01,0,4,0,0,0,4,4
SENA,malaria,de 1 a menores de 5 anos,2021-01-01,7,5,0,0,7,5,12
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2021-02-01,1,0,0,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-02-01,4,3,0,0,4,3,7
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2021-02-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-02-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2021-02-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-02-01,8,7,0,0,8,7,15
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-02-01,1,2,0,0,1,2,3
SANTA ROSA,malaria,de 1 a menores de 5 anos,2021-02-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2021-02-01,8,2,0,0,8,2,10
COBIJA,malaria,de 1 a menores de 5 anos,2021-03-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-03-01,1,0,0,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-03-01,2,3,0,0,2,3,5
