,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
RIBERALTA,malaria,menores de 1 ano,2021-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SENA,malaria,menores de 1 ano,2021-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
RIBERALTA,malaria,menores de 1 ano,2021-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
REYES,malaria,menores de 1 ano,2021-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SENA,malaria,menores de 1 ano,2021-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,malaria,menores de 1 ano,2021-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
RIBERALTA,malaria,menores de 1 ano,2021-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LORENZO(PND),malaria,menores de 1 ano,2021-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUAYARAMERIN,malaria,menores de 1 ano,2021-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LORENZO(PND),malaria,menores de 1 ano,2021-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SUCRE,malaria,menores de 1 ano,2021-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2021-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
IXIAMAS,malaria,menores de 1 ano,2021-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,menores de 1 ano,2021-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUERTO GONZALO MORENO,malaria,menores de 1 ano,2021-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2021-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUERTO RICO,malaria,menores de 1 ano,2021-11-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
RIBERALTA,malaria,menores de 1 ano,2021-11-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SUCRE,malaria,menores de 1 ano,2021-11-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUAYARAMERIN,malaria,menores de 1 ano,2021-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN ANDRES,malaria,menores de 1 ano,2021-12-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
SAN JULIAN,malaria,menores de 1 ano,2021-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
