,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2018-01-01,0,3,1,0,0,0,0,6,0,0,0,0,0,0,10
ACHACACHI,atencion odontologica,restauraciones,2018-01-01,12,14,10,29,21,14,20,20,6,2,0,0,0,0,148
ACHOCALLA,atencion odontologica,restauraciones,2018-01-01,30,23,5,6,7,16,1,24,3,0,0,0,0,0,115
AIQUILE,atencion odontologica,restauraciones,2018-01-01,34,9,10,24,4,18,12,42,11,5,0,0,0,0,169
ALALAY,atencion odontologica,restauraciones,2018-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
ALCALA,atencion odontologica,restauraciones,2018-01-01,4,3,7,6,19,21,7,37,1,0,0,0,0,0,105
ALTO BENI,atencion odontologica,restauraciones,2018-01-01,17,18,2,8,1,6,18,16,14,4,0,0,0,0,104
ANCORAIMES,atencion odontologica,restauraciones,2018-01-01,0,0,0,0,0,0,0,2,3,0,0,0,0,0,5
ANDAMARCA,atencion odontologica,restauraciones,2018-01-01,13,13,26,31,16,22,2,18,13,7,0,0,0,0,161
ANTEQUERA,atencion odontologica,restauraciones,2018-01-01,4,4,1,1,2,1,1,0,6,2,0,0,0,0,22
ANZALDO,atencion odontologica,restauraciones,2018-01-01,8,2,1,0,0,0,1,3,1,6,0,0,0,0,22
APOLO,atencion odontologica,restauraciones,2018-01-01,9,19,8,9,0,6,8,15,2,1,0,0,0,0,77
ARAMPAMPA,atencion odontologica,restauraciones,2018-01-01,3,7,1,0,0,0,0,7,0,6,0,0,0,0,24
ARANI,atencion odontologica,restauraciones,2018-01-01,9,13,14,13,0,21,6,28,7,3,0,0,0,0,114
