,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2018-01-01,4,6,0,0,0,0,0,2,0,0,0,0,0,0,12
ACHACACHI,atencion odontologica,medidas preventivas,2018-01-01,29,25,14,12,11,7,11,8,3,0,0,0,0,0,120
ACHOCALLA,atencion odontologica,medidas preventivas,2018-01-01,16,28,3,1,0,0,0,1,0,0,0,0,0,0,49
AIQUILE,atencion odontologica,medidas preventivas,2018-01-01,42,20,50,92,5,43,26,72,16,10,0,0,0,0,376
ALALAY,atencion odontologica,medidas preventivas,2018-01-01,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4
ALCALA,atencion odontologica,medidas preventivas,2018-01-01,32,27,1,3,1,1,0,1,0,0,0,0,0,0,66
ALTO BENI,atencion odontologica,medidas preventivas,2018-01-01,6,13,1,1,0,3,0,4,0,2,0,0,0,0,30
ANDAMARCA,atencion odontologica,medidas preventivas,2018-01-01,13,22,29,37,4,3,0,3,6,1,0,0,0,0,118
ANTEQUERA,atencion odontologica,medidas preventivas,2018-01-01,2,2,2,5,6,0,1,1,9,7,0,0,0,0,35
ANZALDO,atencion odontologica,medidas preventivas,2018-01-01,53,31,0,0,0,0,0,40,0,0,0,0,0,0,124
APOLO,atencion odontologica,medidas preventivas,2018-01-01,27,19,17,5,0,3,2,1,3,2,0,0,0,0,79
ARAMPAMPA,atencion odontologica,medidas preventivas,2018-01-01,18,5,0,0,0,0,0,1,1,1,0,0,0,0,26
