,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2018-01-01,4,9,0,0,0,0,0,10,2,0,0,3,0,5,33
ACHACACHI,atencion odontologica,consulta nueva,2018-01-01,78,87,58,61,39,47,33,75,36,13,0,3,0,14,544
ACHOCALLA,atencion odontologica,consulta nueva,2018-01-01,107,130,32,33,22,36,7,77,18,11,0,23,0,29,525
AIQUILE,atencion odontologica,consulta nueva,2018-01-01,68,20,41,9,5,13,18,9,15,11,0,3,0,1,213
ALALAY,atencion odontologica,consulta nueva,2018-01-01,0,0,0,1,0,0,0,10,0,7,0,6,0,0,24
ALCALA,atencion odontologica,consulta nueva,2018-01-01,49,31,25,23,23,27,7,46,2,2,0,4,0,3,242
ALTO BENI,atencion odontologica,consulta nueva,2018-01-01,29,35,8,15,4,17,42,52,40,17,0,7,0,19,285
ANCORAIMES,atencion odontologica,consulta nueva,2018-01-01,2,0,2,2,4,0,3,9,9,7,0,0,0,0,38
ANDAMARCA,atencion odontologica,consulta nueva,2018-01-01,32,38,68,78,22,33,16,33,28,15,0,12,0,3,378
ANTEQUERA,atencion odontologica,consulta nueva,2018-01-01,7,7,3,8,9,4,4,9,18,13,0,2,0,0,84
ANZALDO,atencion odontologica,consulta nueva,2018-01-01,62,33,2,2,0,0,7,64,3,17,0,55,0,0,245
APOLO,atencion odontologica,consulta nueva,2018-01-01,39,45,37,23,3,14,18,30,10,6,0,7,0,12,244
ARAMPAMPA,atencion odontologica,consulta nueva,2018-01-01,25,20,8,1,0,2,3,21,3,9,0,4,0,4,100
