,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,endodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ACHACACHI,atencion odontologica,endodoncia,2018-01-01,2,1,0,1,5,1,1,3,2,0,0,0,0,0,16
ACHOCALLA,atencion odontologica,endodoncia,2018-01-01,5,2,0,0,0,0,0,7,2,0,0,0,0,0,16
AIQUILE,atencion odontologica,endodoncia,2018-01-01,0,0,2,5,0,1,6,11,8,0,0,0,0,0,33
ALALAY,atencion odontologica,endodoncia,2018-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
ALCALA,atencion odontologica,endodoncia,2018-01-01,0,0,0,0,1,3,2,8,1,0,0,0,0,0,15
ALTO BENI,atencion odontologica,endodoncia,2018-01-01,2,0,0,0,0,0,2,6,2,0,0,0,0,0,12
ANDAMARCA,atencion odontologica,endodoncia,2018-01-01,0,0,0,0,0,2,4,3,4,1,0,0,0,0,14
ANTEQUERA,atencion odontologica,endodoncia,2018-01-01,0,0,1,0,0,2,0,0,1,0,0,0,0,0,4
ARAMPAMPA,atencion odontologica,endodoncia,2018-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
ARANI,atencion odontologica,endodoncia,2018-01-01,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5
ARBIETO,atencion odontologica,endodoncia,2018-01-01,1,1,3,3,0,1,4,2,0,4,0,0,0,0,19
ARQUE,atencion odontologica,endodoncia,2018-01-01,2,0,0,2,1,1,1,3,0,0,0,0,0,0,10
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2018-01-01,11,6,1,0,0,6,0,8,4,3,0,0,0,0,39
