,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,1,0,0,0,0,0,6,8,2,8,0,0,0,0,25
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,1,1,11,6,1,3,5,5,2,1,0,0,0,0,36
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CHIMORE,atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,5,1,4,14,1,5,10,9,0,2,0,0,0,0,51
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,0,0,0,1,0,2,0,2,0,0,0,0,0,0,5
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,0,0,8,6,0,1,0,5,0,3,0,0,0,0,23
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,0,2,1,0,0,0,0,1,0,0,0,0,0,0,4
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
