,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
ACHACACHI,atencion odontologica,cirugia bucal menor,2018-01-01,3,6,13,11,6,5,1,7,12,3,0,0,0,0,67
ACHOCALLA,atencion odontologica,cirugia bucal menor,2018-01-01,0,4,11,9,6,7,4,9,4,3,0,0,0,0,57
AIQUILE,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,6,8,0,1,0,3,1,1,0,0,0,0,21
ALALAY,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4
ALCALA,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,5,3,2,2,1,23,2,2,0,0,0,0,42
ALTO BENI,atencion odontologica,cirugia bucal menor,2018-01-01,6,3,4,6,1,6,21,24,26,13,0,0,0,0,110
ANCORAIMES,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,2,2,4,0,3,7,5,7,0,0,0,0,32
ANDAMARCA,atencion odontologica,cirugia bucal menor,2018-01-01,3,2,9,7,1,1,10,6,3,2,0,0,0,0,44
ANTEQUERA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,1,0,2,1,4,1,1,0,0,0,0,10
ANZALDO,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,1,2,0,0,6,6,2,11,0,0,0,0,29
APOLO,atencion odontologica,cirugia bucal menor,2018-01-01,2,2,10,9,3,3,5,11,6,3,0,0,0,0,54
