,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2018-01-01,2,1,1,0,0,0,2,12,2,17,0,1,0,4,42
ACHACACHI,atencion odontologica,primera consulta,2018-01-01,25,27,26,23,9,19,13,33,13,6,0,1,0,3,198
ACHOCALLA,atencion odontologica,primera consulta,2018-01-01,67,80,15,17,8,13,3,42,11,7,0,15,0,13,291
AIQUILE,atencion odontologica,primera consulta,2018-01-01,12,9,10,5,2,4,2,6,4,3,0,8,0,1,66
ALALAY,atencion odontologica,primera consulta,2018-01-01,0,0,0,2,0,1,0,3,0,4,0,0,0,0,10
ALCALA,atencion odontologica,primera consulta,2018-01-01,64,44,24,19,11,21,11,58,3,4,0,4,0,8,271
ALTO BENI,atencion odontologica,primera consulta,2018-01-01,20,22,7,9,4,14,22,31,20,9,0,5,0,14,177
ANDAMARCA,atencion odontologica,primera consulta,2018-01-01,17,20,24,26,6,15,14,29,25,21,0,11,0,7,215
ANTEQUERA,atencion odontologica,primera consulta,2018-01-01,4,3,2,3,2,2,2,7,9,8,0,1,0,0,43
ANZALDO,atencion odontologica,primera consulta,2018-01-01,25,25,2,2,0,0,7,24,3,9,0,15,0,0,112
APOLO,atencion odontologica,primera consulta,2018-01-01,22,28,20,17,2,9,12,20,6,5,0,5,0,6,152
ARAMPAMPA,atencion odontologica,primera consulta,2018-01-01,9,9,5,1,0,2,2,14,3,3,0,2,0,3,53
ARANI,atencion odontologica,primera consulta,2018-01-01,3,7,8,5,1,9,15,15,4,4,0,1,0,4,76
