,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,aplicacion de fluor,2018-01-01,0,6,0,0,0,0,0,1,0,0,0,0,0,0,7
ACHACACHI,atencion odontologica,aplicacion de fluor,2018-01-01,2,2,4,3,1,1,0,2,0,0,0,0,0,0,15
ACHOCALLA,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
AIQUILE,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
ALCALA,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ALTO BENI,atencion odontologica,aplicacion de fluor,2018-01-01,1,6,0,1,0,0,0,0,0,0,0,0,0,0,8
ANDAMARCA,atencion odontologica,aplicacion de fluor,2018-01-01,4,6,5,6,2,0,0,1,2,0,0,0,0,0,26
ANZALDO,atencion odontologica,aplicacion de fluor,2018-01-01,31,10,0,0,0,0,0,40,0,0,0,0,0,0,81
APOLO,atencion odontologica,aplicacion de fluor,2018-01-01,6,5,3,3,0,0,1,0,0,0,0,0,0,0,18
ARAMPAMPA,atencion odontologica,aplicacion de fluor,2018-01-01,5,2,0,0,0,0,0,1,0,1,0,0,0,0,9
ARANI,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,2,3,0,3,0,1,0,0,0,0,0,0,10
ARBIETO,atencion odontologica,aplicacion de fluor,2018-01-01,0,2,0,0,0,0,0,1,1,0,0,0,0,0,4
