,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5
ACHACACHI,atencion odontologica,consulta repetida,2018-01-01,3,9,5,4,10,11,6,6,2,3,0,0,0,0,59
ACHOCALLA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,1,0,0,0,4,0,0,0,0,0,0,5
AIQUILE,atencion odontologica,consulta repetida,2018-01-01,7,1,41,15,18,6,44,24,11,1,0,0,0,1,169
ALALAY,atencion odontologica,consulta repetida,2018-01-01,0,0,0,7,0,1,0,1,0,2,0,0,0,0,11
ALCALA,atencion odontologica,consulta repetida,2018-01-01,2,1,4,3,14,23,14,66,2,0,0,0,0,2,131
ALTO BENI,atencion odontologica,consulta repetida,2018-01-01,4,1,0,2,0,1,0,2,6,2,0,1,0,0,19
ANDAMARCA,atencion odontologica,consulta repetida,2018-01-01,2,0,5,5,0,3,7,11,3,1,0,0,0,0,37
ANTEQUERA,atencion odontologica,consulta repetida,2018-01-01,0,0,3,0,0,7,0,0,3,4,0,0,0,0,17
APOLO,atencion odontologica,consulta repetida,2018-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ARAMPAMPA,atencion odontologica,consulta repetida,2018-01-01,0,1,0,1,0,0,0,4,0,1,0,0,0,1,8
ARANI,atencion odontologica,consulta repetida,2018-01-01,24,13,15,5,1,15,4,18,3,6,0,2,0,9,115
ARBIETO,atencion odontologica,consulta repetida,2018-01-01,3,3,2,4,0,2,4,8,1,5,0,0,0,6,38
