,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,exodoncia,2018-01-01,0,1,9,7,4,4,1,3,10,3,0,0,0,0,42
ACHOCALLA,atencion odontologica,exodoncia,2018-01-01,0,3,11,9,4,7,3,9,4,3,0,0,0,0,53
AIQUILE,atencion odontologica,exodoncia,2018-01-01,1,0,6,8,0,1,0,3,1,1,0,0,0,0,21
ALALAY,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
ALCALA,atencion odontologica,exodoncia,2018-01-01,0,0,6,7,2,3,0,14,1,0,0,0,0,0,33
ALTO BENI,atencion odontologica,exodoncia,2018-01-01,1,0,4,6,1,5,20,22,23,12,0,0,0,0,94
ANCORAIMES,atencion odontologica,exodoncia,2018-01-01,0,0,0,2,1,0,2,5,5,4,0,0,0,0,19
ANDAMARCA,atencion odontologica,exodoncia,2018-01-01,0,0,6,5,0,1,2,3,1,2,0,0,0,0,20
ANTEQUERA,atencion odontologica,exodoncia,2018-01-01,0,0,0,1,0,0,1,2,1,0,0,0,0,0,5
ANZALDO,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,3,3,1,8,0,0,0,0,15
APOLO,atencion odontologica,exodoncia,2018-01-01,0,0,9,7,3,3,5,9,6,2,0,0,0,0,44
ARAMPAMPA,atencion odontologica,exodoncia,2018-01-01,0,0,4,1,0,1,1,5,0,0,0,0,0,0,12
ARANI,atencion odontologica,exodoncia,2018-01-01,0,0,8,4,2,4,8,6,2,3,0,0,0,0,37
ARBIETO,atencion odontologica,exodoncia,2018-01-01,2,0,8,5,0,6,1,4,4,19,0,0,0,0,49
ARQUE,atencion odontologica,exodoncia,2018-01-01,0,1,2,8,1,8,6,25,2,1,0,0,0,0,54
