,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CABEZAS,atencion odontologica,trat. de fracturas dentoalveolares,2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-01-01,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-01-01,4,3,11,2,1,0,12,10,1,6,0,0,0,0,50
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-01-01,0,0,1,2,0,0,1,13,6,0,0,0,0,0,23
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-01-01,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-01-01,0,0,2,0,2,0,7,16,3,0,0,0,0,0,30
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2018-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-02-01,2,2,1,1,0,0,1,1,1,0,0,0,0,0,9
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-02-01,1,3,7,6,5,2,31,34,2,5,0,0,0,0,96
