,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
BELLA FLOR,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,46,34,8,36,14,40,0,0,0,0,0,0,178
CAMIRI,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,0,0,2,3,4,0,0,0,0,0,0,0,9
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,2,0,2,5,4,6,8,1,2,0,0,0,0,30
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,15,10,0,0,0,0,0,0,0,0,0,0,0,0,25
