,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
ACHOCALLA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4
AIQUILE,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,5,9,2,0,0,0,0,0,17
ALALAY,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
ALTO BENI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
ANCORAIMES,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ANDAMARCA,atencion odontologica,periodoncia,2018-01-01,0,0,3,0,0,3,1,2,5,3,0,0,0,0,17
ANTEQUERA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
ANZALDO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15
APOLO,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,1,2,2,0,0,0,0,0,0,6
ARAMPAMPA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,5,0,1,0,0,0,0,7
ARANI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ARBIETO,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,2,4,23,10,24,0,0,0,0,64
ARQUE,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,12,2,3,0,0,0,0,18
