,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,6,6,0,0,6,6,12
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,41,33,20,15,61,48,109
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,32,22,4,8,36,30,66
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,47,37,3,4,50,41,91
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,6,1,1,2,7,3,10
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,9,7,1,2,10,9,19
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,51,52,2,4,53,56,109
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,10,12,0,1,10,13,23
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,12,12,0,1,12,13,25
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,3,8,0,1,3,9,12
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,12,14,7,4,19,18,37
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,62,42,22,19,84,61,145
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,4,11,0,0,4,11,15
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,18,23,3,1,21,24,45
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,55,54,9,12,64,66,130
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,23,30,0,0,23,30,53
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,69,70,3,3,72,73,145
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,33,33,2,1,35,34,69
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2018-01-01,13,12,0,1,13,13,26
