,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2018-01-01,10,12,0,0,10,12,22
ACHACACHI,consulta externa,personas de 50 a 59 anos,2018-01-01,45,70,16,20,61,90,151
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2018-01-01,12,10,0,0,12,10,22
AIQUILE,consulta externa,personas de 50 a 59 anos,2018-01-01,47,87,33,46,80,133,213
ALALAY,consulta externa,personas de 50 a 59 anos,2018-01-01,1,6,0,0,1,6,7
ALCALA,consulta externa,personas de 50 a 59 anos,2018-01-01,15,57,0,1,15,58,73
ALTO BENI,consulta externa,personas de 50 a 59 anos,2018-01-01,26,27,5,0,31,27,58
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2018-01-01,25,16,13,10,38,26,64
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2018-01-01,9,12,0,0,9,12,21
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2018-01-01,2,3,0,1,2,4,6
ANZALDO,consulta externa,personas de 50 a 59 anos,2018-01-01,38,53,13,14,51,67,118
APOLO,consulta externa,personas de 50 a 59 anos,2018-01-01,20,35,1,0,21,35,56
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2018-01-01,6,8,0,0,6,8,14
ARANI,consulta externa,personas de 50 a 59 anos,2018-01-01,3,5,0,0,3,5,8
ARBIETO,consulta externa,personas de 50 a 59 anos,2018-01-01,15,24,1,1,16,25,41
ARQUE,consulta externa,personas de 50 a 59 anos,2018-01-01,11,14,3,1,14,15,29
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2018-01-01,17,22,0,0,17,22,39
ATOCHA,consulta externa,personas de 50 a 59 anos,2018-01-01,173,115,55,37,228,152,380
AUCAPATA,consulta externa,personas de 50 a 59 anos,2018-01-01,15,15,2,6,17,21,38
AYATA,consulta externa,personas de 50 a 59 anos,2018-01-01,15,28,3,1,18,29,47
AYO AYO,consulta externa,personas de 50 a 59 anos,2018-01-01,13,12,0,1,13,13,26
