,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2018-01-01,7,4,0,0,7,4,11
ACHACACHI,consulta externa,menores de 6 meses,2018-01-01,70,56,14,19,84,75,159
ACHOCALLA,consulta externa,menores de 6 meses,2018-01-01,23,21,8,2,31,23,54
AIQUILE,consulta externa,menores de 6 meses,2018-01-01,64,41,4,4,68,45,113
ALALAY,consulta externa,menores de 6 meses,2018-01-01,4,9,0,2,4,11,15
ALCALA,consulta externa,menores de 6 meses,2018-01-01,15,4,1,0,16,4,20
ALTO BENI,consulta externa,menores de 6 meses,2018-01-01,43,42,3,3,46,45,91
ANCORAIMES,consulta externa,menores de 6 meses,2018-01-01,7,7,1,1,8,8,16
ANDAMARCA,consulta externa,menores de 6 meses,2018-01-01,7,9,0,0,7,9,16
ANTEQUERA,consulta externa,menores de 6 meses,2018-01-01,3,2,0,3,3,5,8
ANZALDO,consulta externa,menores de 6 meses,2018-01-01,7,18,2,5,9,23,32
APOLO,consulta externa,menores de 6 meses,2018-01-01,33,43,12,13,45,56,101
ARAMPAMPA,consulta externa,menores de 6 meses,2018-01-01,6,11,0,0,6,11,17
ARANI,consulta externa,menores de 6 meses,2018-01-01,25,20,2,3,27,23,50
ARBIETO,consulta externa,menores de 6 meses,2018-01-01,45,37,8,6,53,43,96
ARQUE,consulta externa,menores de 6 meses,2018-01-01,30,15,1,0,31,15,46
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2018-01-01,74,60,2,0,76,60,136
ATOCHA,consulta externa,menores de 6 meses,2018-01-01,28,28,0,0,28,28,56
AUCAPATA,consulta externa,menores de 6 meses,2018-01-01,4,3,0,1,4,4,8
AYATA,consulta externa,menores de 6 meses,2018-01-01,16,10,0,0,16,10,26
AYO AYO,consulta externa,menores de 6 meses,2018-01-01,11,7,0,0,11,7,18
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2018-01-01,45,50,1,1,46,51,97
AZURDUY,consulta externa,menores de 6 meses,2018-01-01,32,26,0,0,32,26,58
