,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2018-01-01,21,47,0,0,21,47,68
ACHACACHI,consulta externa,personas de 20 a 39 anos,2018-01-01,129,286,16,82,145,368,513
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2018-01-01,34,173,1,6,35,179,214
AIQUILE,consulta externa,personas de 20 a 39 anos,2018-01-01,126,317,26,62,152,379,531
ALALAY,consulta externa,personas de 20 a 39 anos,2018-01-01,5,14,0,0,5,14,19
ALCALA,consulta externa,personas de 20 a 39 anos,2018-01-01,41,131,0,7,41,138,179
ALTO BENI,consulta externa,personas de 20 a 39 anos,2018-01-01,111,197,7,9,118,206,324
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2018-01-01,23,66,2,7,25,73,98
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2018-01-01,40,37,2,0,42,37,79
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2018-01-01,22,16,0,0,22,16,38
ANZALDO,consulta externa,personas de 20 a 39 anos,2018-01-01,74,102,13,25,87,127,214
APOLO,consulta externa,personas de 20 a 39 anos,2018-01-01,61,216,2,1,63,217,280
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2018-01-01,12,32,0,0,12,32,44
ARANI,consulta externa,personas de 20 a 39 anos,2018-01-01,19,56,1,2,20,58,78
ARBIETO,consulta externa,personas de 20 a 39 anos,2018-01-01,47,229,7,32,54,261,315
ARQUE,consulta externa,personas de 20 a 39 anos,2018-01-01,19,72,0,0,19,72,91
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2018-01-01,24,205,0,0,24,205,229
ATOCHA,consulta externa,personas de 20 a 39 anos,2018-01-01,457,502,81,73,538,575,1113
AUCAPATA,consulta externa,personas de 20 a 39 anos,2018-01-01,23,40,0,0,23,40,63
AYATA,consulta externa,personas de 20 a 39 anos,2018-01-01,36,99,3,2,39,101,140
AYO AYO,consulta externa,personas de 20 a 39 anos,2018-01-01,29,48,0,0,29,48,77
