,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2018-01-01,10,20,0,0,10,20,30
ACHACACHI,consulta externa,personas de 40 a 49 anos,2018-01-01,42,78,10,16,52,94,146
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2018-01-01,18,37,0,1,18,38,56
AIQUILE,consulta externa,personas de 40 a 49 anos,2018-01-01,54,121,18,39,72,160,232
ALALAY,consulta externa,personas de 40 a 49 anos,2018-01-01,0,2,0,0,0,2,2
ALCALA,consulta externa,personas de 40 a 49 anos,2018-01-01,24,50,0,3,24,53,77
ALTO BENI,consulta externa,personas de 40 a 49 anos,2018-01-01,31,39,3,4,34,43,77
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2018-01-01,8,21,1,3,9,24,33
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2018-01-01,10,13,1,0,11,13,24
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2018-01-01,3,1,0,0,3,1,4
ANZALDO,consulta externa,personas de 40 a 49 anos,2018-01-01,40,63,14,10,54,73,127
APOLO,consulta externa,personas de 40 a 49 anos,2018-01-01,27,60,0,1,27,61,88
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2018-01-01,7,10,0,1,7,11,18
ARANI,consulta externa,personas de 40 a 49 anos,2018-01-01,4,13,0,0,4,13,17
ARBIETO,consulta externa,personas de 40 a 49 anos,2018-01-01,10,39,0,2,10,41,51
ARQUE,consulta externa,personas de 40 a 49 anos,2018-01-01,7,29,0,2,7,31,38
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2018-01-01,28,40,0,0,28,40,68
ATOCHA,consulta externa,personas de 40 a 49 anos,2018-01-01,282,230,63,37,345,267,612
AUCAPATA,consulta externa,personas de 40 a 49 anos,2018-01-01,18,24,5,0,23,24,47
AYATA,consulta externa,personas de 40 a 49 anos,2018-01-01,18,39,0,0,18,39,57
AYO AYO,consulta externa,personas de 40 a 49 anos,2018-01-01,9,9,0,0,9,9,18
