,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2018-01-01,13,6,0,0,13,6,19
ACHACACHI,consulta externa,personas de 5 a 9 anos,2018-01-01,45,30,5,16,50,46,96
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2018-01-01,23,13,0,1,23,14,37
AIQUILE,consulta externa,personas de 5 a 9 anos,2018-01-01,40,37,8,6,48,43,91
ALALAY,consulta externa,personas de 5 a 9 anos,2018-01-01,0,1,0,0,0,1,1
ALCALA,consulta externa,personas de 5 a 9 anos,2018-01-01,19,29,0,1,19,30,49
ALTO BENI,consulta externa,personas de 5 a 9 anos,2018-01-01,27,26,0,0,27,26,53
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2018-01-01,4,10,1,1,5,11,16
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2018-01-01,4,12,0,0,4,12,16
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2018-01-01,5,8,0,0,5,8,13
ANZALDO,consulta externa,personas de 5 a 9 anos,2018-01-01,17,17,8,2,25,19,44
APOLO,consulta externa,personas de 5 a 9 anos,2018-01-01,18,28,0,0,18,28,46
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2018-01-01,2,1,0,0,2,1,3
ARANI,consulta externa,personas de 5 a 9 anos,2018-01-01,12,8,0,1,12,9,21
ARBIETO,consulta externa,personas de 5 a 9 anos,2018-01-01,37,32,1,1,38,33,71
ARQUE,consulta externa,personas de 5 a 9 anos,2018-01-01,7,9,0,1,7,10,17
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2018-01-01,36,27,1,2,37,29,66
ATOCHA,consulta externa,personas de 5 a 9 anos,2018-01-01,102,101,6,3,108,104,212
AUCAPATA,consulta externa,personas de 5 a 9 anos,2018-01-01,10,7,0,0,10,7,17
AYATA,consulta externa,personas de 5 a 9 anos,2018-01-01,13,6,0,0,13,6,19
AYO AYO,consulta externa,personas de 5 a 9 anos,2018-01-01,11,9,0,0,11,9,20
