,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2018-01-01,269,329,0,2,269,331,600
ACHACACHI,consulta externa,personas de 60 anos y mas,2018-01-01,518,557,203,216,721,773,1494
ACHOCALLA,consulta externa,personas de 60 anos y mas,2018-01-01,170,189,21,18,191,207,398
AIQUILE,consulta externa,personas de 60 anos y mas,2018-01-01,331,403,544,646,875,1049,1924
ALALAY,consulta externa,personas de 60 anos y mas,2018-01-01,71,102,5,7,76,109,185
ALCALA,consulta externa,personas de 60 anos y mas,2018-01-01,80,118,2,4,82,122,204
ALTO BENI,consulta externa,personas de 60 anos y mas,2018-01-01,415,268,36,27,451,295,746
ANCORAIMES,consulta externa,personas de 60 anos y mas,2018-01-01,228,215,166,189,394,404,798
ANDAMARCA,consulta externa,personas de 60 anos y mas,2018-01-01,210,265,7,10,217,275,492
ANTEQUERA,consulta externa,personas de 60 anos y mas,2018-01-01,50,54,2,2,52,56,108
ANZALDO,consulta externa,personas de 60 anos y mas,2018-01-01,274,386,112,140,386,526,912
APOLO,consulta externa,personas de 60 anos y mas,2018-01-01,295,285,3,7,298,292,590
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2018-01-01,95,155,0,3,95,158,253
ARANI,consulta externa,personas de 60 anos y mas,2018-01-01,158,301,88,99,246,400,646
ARBIETO,consulta externa,personas de 60 anos y mas,2018-01-01,452,764,67,93,519,857,1376
ARQUE,consulta externa,personas de 60 anos y mas,2018-01-01,252,365,86,102,338,467,805
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2018-01-01,282,238,4,6,286,244,530
ATOCHA,consulta externa,personas de 60 anos y mas,2018-01-01,196,220,52,48,248,268,516
AUCAPATA,consulta externa,personas de 60 anos y mas,2018-01-01,149,139,4,5,153,144,297
AYATA,consulta externa,personas de 60 anos y mas,2018-01-01,190,276,18,21,208,297,505
AYO AYO,consulta externa,personas de 60 anos y mas,2018-01-01,235,249,26,28,261,277,538
