,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2018-01-01,4,3,0,0,4,3,7
ACHACACHI,consulta externa,personas de 10 a 14 anos,2018-01-01,19,33,4,6,23,39,62
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2018-01-01,14,17,1,1,15,18,33
AIQUILE,consulta externa,personas de 10 a 14 anos,2018-01-01,31,44,3,6,34,50,84
ALALAY,consulta externa,personas de 10 a 14 anos,2018-01-01,0,2,0,0,0,2,2
ALCALA,consulta externa,personas de 10 a 14 anos,2018-01-01,10,15,0,2,10,17,27
ALTO BENI,consulta externa,personas de 10 a 14 anos,2018-01-01,13,21,2,1,15,22,37
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2018-01-01,13,9,0,0,13,9,22
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2018-01-01,10,6,0,1,10,7,17
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2018-01-01,5,8,0,0,5,8,13
ANZALDO,consulta externa,personas de 10 a 14 anos,2018-01-01,16,23,2,1,18,24,42
APOLO,consulta externa,personas de 10 a 14 anos,2018-01-01,14,10,0,0,14,10,24
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2018-01-01,2,0,0,0,2,0,2
ARANI,consulta externa,personas de 10 a 14 anos,2018-01-01,3,6,0,0,3,6,9
ARBIETO,consulta externa,personas de 10 a 14 anos,2018-01-01,10,21,2,5,12,26,38
ARQUE,consulta externa,personas de 10 a 14 anos,2018-01-01,8,10,0,1,8,11,19
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2018-01-01,23,19,0,0,23,19,42
ATOCHA,consulta externa,personas de 10 a 14 anos,2018-01-01,76,86,6,4,82,90,172
AUCAPATA,consulta externa,personas de 10 a 14 anos,2018-01-01,5,6,0,0,5,6,11
AYATA,consulta externa,personas de 10 a 14 anos,2018-01-01,8,4,1,2,9,6,15
AYO AYO,consulta externa,personas de 10 a 14 anos,2018-01-01,6,6,0,0,6,6,12
