,group,variable,month,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 15 a 19 anos,2018-01-01,5,9,0,1,5,10,15
ACHACACHI,consulta externa,personas de 15 a 19 anos,2018-01-01,53,71,8,8,61,79,140
ACHOCALLA,consulta externa,personas de 15 a 19 anos,2018-01-01,16,14,0,1,16,15,31
AIQUILE,consulta externa,personas de 15 a 19 anos,2018-01-01,41,82,8,4,49,86,135
ALALAY,consulta externa,personas de 15 a 19 anos,2018-01-01,1,3,0,0,1,3,4
ALCALA,consulta externa,personas de 15 a 19 anos,2018-01-01,12,25,1,0,13,25,38
ALTO BENI,consulta externa,personas de 15 a 19 anos,2018-01-01,20,47,2,2,22,49,71
ANCORAIMES,consulta externa,personas de 15 a 19 anos,2018-01-01,6,21,0,0,6,21,27
ANDAMARCA,consulta externa,personas de 15 a 19 anos,2018-01-01,1,13,0,0,1,13,14
ANTEQUERA,consulta externa,personas de 15 a 19 anos,2018-01-01,2,5,0,0,2,5,7
ANZALDO,consulta externa,personas de 15 a 19 anos,2018-01-01,15,13,4,5,19,18,37
APOLO,consulta externa,personas de 15 a 19 anos,2018-01-01,13,42,0,1,13,43,56
ARAMPAMPA,consulta externa,personas de 15 a 19 anos,2018-01-01,1,4,0,0,1,4,5
ARANI,consulta externa,personas de 15 a 19 anos,2018-01-01,10,10,0,1,10,11,21
ARBIETO,consulta externa,personas de 15 a 19 anos,2018-01-01,21,58,3,9,24,67,91
ARQUE,consulta externa,personas de 15 a 19 anos,2018-01-01,9,16,0,0,9,16,25
ASCENCION DE GUARAYOS,consulta externa,personas de 15 a 19 anos,2018-01-01,8,47,0,0,8,47,55
ATOCHA,consulta externa,personas de 15 a 19 anos,2018-01-01,56,79,8,11,64,90,154
AUCAPATA,consulta externa,personas de 15 a 19 anos,2018-01-01,3,12,0,0,3,12,15
AYATA,consulta externa,personas de 15 a 19 anos,2018-01-01,9,15,1,1,10,16,26
AYO AYO,consulta externa,personas de 15 a 19 anos,2018-01-01,12,20,0,0,12,20,32
