,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-01-01,1,0,0,0,1,0,1
UMALA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-02-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-02-01,2,1,0,0,2,1,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-02-01,1,0,0,0,1,0,1
TIPUANI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-02-01,1,0,0,0,1,0,1
UMALA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-02-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-03-01,2,0,0,0,2,0,2
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-03-01,1,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-03-01,0,0,0,0,0,0,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-04-01,1,2,0,0,1,2,3
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-04-01,1,0,0,0,1,0,1
SENA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-04-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-05-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-05-01,2,0,0,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-05-01,0,0,2,1,2,1,3
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-05-01,1,0,0,0,1,0,1
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-05-01,1,0,1,0,2,0,2
SENA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-05-01,1,0,1,0,2,0,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-06-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-06-01,2,0,1,0,3,0,3
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-06-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-06-01,0,0,0,0,0,0,0
SENA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-06-01,0,0,1,0,1,0,1
VINTO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-06-01,0,0,1,0,1,0,1
ENTRE RIOS TRJ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-07-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-07-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-07-01,0,0,0,0,0,0,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-08-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-08-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-08-01,0,0,0,0,0,0,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-09-01,2,0,0,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-09-01,3,0,0,1,3,1,4
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-09-01,3,2,0,0,3,2,5
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-09-01,1,0,0,0,1,0,1
SAN LUCAS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-09-01,0,0,0,0,0,0,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-09-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-10-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2010-10-01,4,0,0,0,4,0,4
