,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,1,1,0,0,1,1,2
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,0,0,1,1,1,1,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,4,2,0,0,4,2,6
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,3,4,0,0,3,4,7
CHUMA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,2,0,0,1,2,1,3
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,1,0,1,0,2,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,14,0,7,0,21,0,21
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,0,1,0,0,0,1,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,0,1,0,0,0,1,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,0,1,0,0,0,1,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,0,1,2,0,2,1,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,4,3,1,0,5,3,8
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,6,1,0,0,6,1,7
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,4,0,1,0,5,0,5
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,5,0,0,0,5,0,5
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,1,1,0,0,1,1,2
