municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
MACHARETI,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,5,5
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
SENA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,3,3
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
TARIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
YUNCHARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
FILADELFIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
IXIAMAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2021-02-01,1,1
