municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
APOLO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,55,55
CHARAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
COPACABANA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,2,2
LAJA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,2,2
OCURI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,8,8
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
SAN PEDRO DE MACHA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
SANTA ROSA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,2,2
YACUIBA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-01-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,26,26
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,5,5
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,4,4
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por partera empirica,2021-02-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,4,4
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,28,28
COMARAPA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,2,2
CUEVO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,2,2
LAJA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
SAN BENITO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,2,2
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,4,4
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-03-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,2,2
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,15,15
CHARAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,2,2
CHIMORE,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
MACHARETI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,2,2
MAGDALENA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
POJO (CBBA),atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,2,2
PUCARANI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,2,2
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
SANTA ROSA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
TARATA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
TARVITA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,3,3
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,4,4
VIACHA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera empirica,2021-04-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera empirica,2021-05-01,2,2
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2021-05-01,16,16
