municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
BETANZOS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-01-01,1.0,1.0
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-01-01,1.0,1.0
TARVITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-01-01,1.0,1.0
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-02-01,1.0,1.0
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-02-01,3.0,3.0
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-02-01,1.0,1.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-02-01,1.0,1.0
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-03-01,1.0,1.0
TRINIDAD,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-03-01,1.0,1.0
CULPINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-04-01,1.0,1.0
GUAQUI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-04-01,1.0,1.0
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-04-01,1.0,1.0
AZURDUY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-05-01,1.0,1.0
BUENA VISTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-05-01,1.0,1.0
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-05-01,1.0,1.0
POTOSI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-05-01,1.0,1.0
ACACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-06-01,1.0,1.0
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-06-01,1.0,1.0
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-07-01,1.0,1.0
REYES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-07-01,1.0,1.0
TACOPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-07-01,1.0,1.0
TIRAQUE (CBBA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-07-01,1.0,1.0
YAPACANI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-07-01,1.0,1.0
PALCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-08-01,1.0,1.0
POTOSI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-08-01,1.0,1.0
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-08-01,1.0,1.0
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-09-01,1.0,1.0
HUANUNI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-09-01,1.0,1.0
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-09-01,1.0,1.0
MOCOMOCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-10-01,1.0,1.0
PUNATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-10-01,1.0,1.0
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-10-01,1.0,1.0
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-12-01,1.0,1.0
UNCIA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2021-12-01,1.0,1.0
