municipality,group,variable,month,RN con corte tardío de Cordón Umbilical,TOTAL
ACACIO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
ARAMPAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,5,5
"CAIZA ""D""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,5,5
CHALLAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,5,5
CHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,8,8
CHAYANTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,5,5
"COLCHA ""K""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,4,4
COLQUECHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
CULPINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
EL ALTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
EL TORNO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
HUMANATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,3,3
ICLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,4,4
INCAHUASI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,8,8
LAS CARRERAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,3,3
MOJOCOYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
OCURI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,13,13
PADILLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
PORCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
POROMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,7,7
PRESTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,8,8
SAN BORJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,2,2
SAN LUCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,22,22
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
SOPACHUY,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
SUCRE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
TARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,5,5
TOMAVE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,4,4
TORO TORO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,9,9
TOTORA(ORR),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,2,2
UNCIA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,6,6
VILLA SERRANO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,2,2
VITICHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,4,4
ZUDAÑEZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-01-01,1,1
ARAMPAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,3,3
BOYUIBE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,10,10
CHALLAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,3,3
