municipality,group,variable,month,Nacidos vivos atendidos por otros,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
CATACORA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,8,8
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,2,2
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
NAZACARA DE PACAJES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,2,2
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,4,4
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,2,2
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,6,6
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-01-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
