municipality,group,variable,month,Partos atendidos por otros,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2021-01-01,3,3
BOLIVAR,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
CATACORA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,5,5
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,9,9
EL TORNO,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,2,2
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,2,2
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
MONTERO,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
NAZACARA DE PACAJES,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,2,2
ORURO,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,6,6
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,3,3
PAZÑA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,7,7
SACACA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,2,2
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,6,6
SOPACHUY,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,4,4
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,4,4
TOLATA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
VILLAZON,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,4,4
WALDO BALLIVIAN,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por otros,2021-01-01,2,2
