municipality,group,variable,month,Primer Control Post Parto,TOTAL
ACACIO,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
APOLO,atencion de partos en domicilio,primer control post parto,2021-01-01,7,7
ARAMPAMPA,atencion de partos en domicilio,primer control post parto,2021-01-01,6,6
ARQUE,atencion de partos en domicilio,primer control post parto,2021-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
ATOCHA,atencion de partos en domicilio,primer control post parto,2021-01-01,2,2
AUCAPATA,atencion de partos en domicilio,primer control post parto,2021-01-01,6,6
AYATA,atencion de partos en domicilio,primer control post parto,2021-01-01,8,8
BERMEJO,atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
CABEZAS,atencion de partos en domicilio,primer control post parto,2021-01-01,55,55
CAIROMA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
CARIPUYO,atencion de partos en domicilio,primer control post parto,2021-01-01,5,5
CHALLAPATA,atencion de partos en domicilio,primer control post parto,2021-01-01,5,5
CHAQUI,atencion de partos en domicilio,primer control post parto,2021-01-01,8,8
CHAYANTA,atencion de partos en domicilio,primer control post parto,2021-01-01,7,7
CHUMA,atencion de partos en domicilio,primer control post parto,2021-01-01,5,5
CKOCHAS,atencion de partos en domicilio,primer control post parto,2021-01-01,5,5
COCHABAMBA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
COLQUECHACA,atencion de partos en domicilio,primer control post parto,2021-01-01,3,3
CONCEPCION,atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
COROICO,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
CORQUE,atencion de partos en domicilio,primer control post parto,2021-01-01,2,2
COTAGAITA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
COTOCA,atencion de partos en domicilio,primer control post parto,2021-01-01,2,2
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en domicilio,primer control post parto,2021-01-01,2,2
CULPINA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
CURVA,atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
EL ALTO,atencion de partos en domicilio,primer control post parto,2021-01-01,6,6
EL TORNO,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,primer control post parto,2021-01-01,7,7
HUANUNI,atencion de partos en domicilio,primer control post parto,2021-01-01,2,2
HUMANATA,atencion de partos en domicilio,primer control post parto,2021-01-01,3,3
ICLA,atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
INCAHUASI,atencion de partos en domicilio,primer control post parto,2021-01-01,8,8
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
LA ASUNTA,atencion de partos en domicilio,primer control post parto,2021-01-01,2,2
LAGUNILLAS,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
LAS CARRERAS,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,primer control post parto,2021-01-01,3,3
MACHACAMARCA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
MOJOCOYA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
MORO MORO,atencion de partos en domicilio,primer control post parto,2021-01-01,3,3
OCURI,atencion de partos en domicilio,primer control post parto,2021-01-01,14,14
ORURO,atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
PELECHUCO,atencion de partos en domicilio,primer control post parto,2021-01-01,5,5
POROMA,atencion de partos en domicilio,primer control post parto,2021-01-01,7,7
PRESTO,atencion de partos en domicilio,primer control post parto,2021-01-01,8,8
PUNATA,atencion de partos en domicilio,primer control post parto,2021-01-01,24,24
SAN BORJA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,primer control post parto,2021-01-01,22,22
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
SANTA ANA,atencion de partos en domicilio,primer control post parto,2021-01-01,34,34
SANTA ROSA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,primer control post parto,2021-01-01,5,5
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
SICAYA,atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
SOPACHUY,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
SUCRE,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
TARABUCO,atencion de partos en domicilio,primer control post parto,2021-01-01,6,6
TINGUIPAYA,atencion de partos en domicilio,primer control post parto,2021-01-01,2,2
TOLEDO,atencion de partos en domicilio,primer control post parto,2021-01-01,5,5
TOMAVE,atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
TORO TORO,atencion de partos en domicilio,primer control post parto,2021-01-01,9,9
TUPIZA,atencion de partos en domicilio,primer control post parto,2021-01-01,1,1
TURCO,atencion de partos en domicilio,primer control post parto,2021-01-01,4,4
UNCIA,atencion de partos en domicilio,primer control post parto,2021-01-01,9,9
VILLA MONTES,atencion de partos en domicilio,primer control post parto,2021-01-01,13,13
VILLA SERRANO,atencion de partos en domicilio,primer control post parto,2021-01-01,3,3
VITICHI,atencion de partos en domicilio,primer control post parto,2021-01-01,5,5
ZUDAÑEZ,atencion de partos en domicilio,primer control post parto,2021-01-01,3,3
APOLO,atencion de partos en domicilio,primer control post parto,2021-02-01,6,6
ARAMPAMPA,atencion de partos en domicilio,primer control post parto,2021-02-01,3,3
ATOCHA,atencion de partos en domicilio,primer control post parto,2021-02-01,5,5
AUCAPATA,atencion de partos en domicilio,primer control post parto,2021-02-01,4,4
AYATA,atencion de partos en domicilio,primer control post parto,2021-02-01,5,5
BELEN DE ANDAMARCA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
BOYUIBE,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
CABEZAS,atencion de partos en domicilio,primer control post parto,2021-02-01,27,27
"CAIZA ""D""",atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
CARIPUYO,atencion de partos en domicilio,primer control post parto,2021-02-01,11,11
CHALLAPATA,atencion de partos en domicilio,primer control post parto,2021-02-01,3,3
CHAQUI,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
CHAYANTA,atencion de partos en domicilio,primer control post parto,2021-02-01,4,4
CHUMA,atencion de partos en domicilio,primer control post parto,2021-02-01,4,4
CKOCHAS,atencion de partos en domicilio,primer control post parto,2021-02-01,3,3
"COLCHA ""K""",atencion de partos en domicilio,primer control post parto,2021-02-01,7,7
COLQUECHACA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
CONCEPCION,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
COROICO,atencion de partos en domicilio,primer control post parto,2021-02-01,10,10
COTOCA,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
CULPINA,atencion de partos en domicilio,primer control post parto,2021-02-01,3,3
CURVA,atencion de partos en domicilio,primer control post parto,2021-02-01,5,5
EL ALTO,atencion de partos en domicilio,primer control post parto,2021-02-01,13,13
EL PUENTE(TJA),atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
FILADELFIA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,primer control post parto,2021-02-01,14,14
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,primer control post parto,2021-02-01,4,4
HUANUNI,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
ICLA,atencion de partos en domicilio,primer control post parto,2021-02-01,3,3
INCAHUASI,atencion de partos en domicilio,primer control post parto,2021-02-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
LA ASUNTA,atencion de partos en domicilio,primer control post parto,2021-02-01,6,6
LA PAZ,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
LAGUNILLAS,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
MACHACAMARCA,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
MORO MORO,atencion de partos en domicilio,primer control post parto,2021-02-01,3,3
MOROCHATA,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
OCURI,atencion de partos en domicilio,primer control post parto,2021-02-01,5,5
ORURO,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
PADILLA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
PAZÑA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
PELECHUCO,atencion de partos en domicilio,primer control post parto,2021-02-01,8,8
POOPO,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
POROMA,atencion de partos en domicilio,primer control post parto,2021-02-01,9,9
POTOSI,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
PRESTO,atencion de partos en domicilio,primer control post parto,2021-02-01,5,5
PUERTO GONZALO MORENO,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
PUNATA,atencion de partos en domicilio,primer control post parto,2021-02-01,5,5
SACACA,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,primer control post parto,2021-02-01,16,16
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
SANTA ANA,atencion de partos en domicilio,primer control post parto,2021-02-01,42,42
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
SANTA ROSA,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
SICAYA,atencion de partos en domicilio,primer control post parto,2021-02-01,3,3
SOPACHUY,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
TARABUCO,atencion de partos en domicilio,primer control post parto,2021-02-01,5,5
TARIJA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
TIQUIPAYA,atencion de partos en domicilio,primer control post parto,2021-02-01,2,2
TOLEDO,atencion de partos en domicilio,primer control post parto,2021-02-01,4,4
TOMAVE,atencion de partos en domicilio,primer control post parto,2021-02-01,6,6
TORO TORO,atencion de partos en domicilio,primer control post parto,2021-02-01,6,6
TUPIZA,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
TURCO,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
UNCIA,atencion de partos en domicilio,primer control post parto,2021-02-01,5,5
VILLA MONTES,atencion de partos en domicilio,primer control post parto,2021-02-01,9,9
VILLA SERRANO,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
VITICHI,atencion de partos en domicilio,primer control post parto,2021-02-01,3,3
YAMPARAEZ,atencion de partos en domicilio,primer control post parto,2021-02-01,1,1
APOLO,atencion de partos en domicilio,primer control post parto,2021-03-01,14,14
ARAMPAMPA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
ATOCHA,atencion de partos en domicilio,primer control post parto,2021-03-01,4,4
AUCAPATA,atencion de partos en domicilio,primer control post parto,2021-03-01,6,6
AYATA,atencion de partos en domicilio,primer control post parto,2021-03-01,4,4
CABEZAS,atencion de partos en domicilio,primer control post parto,2021-03-01,27,27
"CAIZA ""D""",atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
CARIPUYO,atencion de partos en domicilio,primer control post parto,2021-03-01,5,5
CHALLAPATA,atencion de partos en domicilio,primer control post parto,2021-03-01,4,4
CHAQUI,atencion de partos en domicilio,primer control post parto,2021-03-01,4,4
CHAYANTA,atencion de partos en domicilio,primer control post parto,2021-03-01,2,2
CHUMA,atencion de partos en domicilio,primer control post parto,2021-03-01,6,6
"COLCHA ""K""",atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
COLQUECHACA,atencion de partos en domicilio,primer control post parto,2021-03-01,5,5
CONCEPCION,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
COROICO,atencion de partos en domicilio,primer control post parto,2021-03-01,2,2
COTOCA,atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
CULPINA,atencion de partos en domicilio,primer control post parto,2021-03-01,7,7
CURVA,atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
EL ALTO,atencion de partos en domicilio,primer control post parto,2021-03-01,27,27
EL CHORO,atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,primer control post parto,2021-03-01,9,9
HUANUNI,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
ICLA,atencion de partos en domicilio,primer control post parto,2021-03-01,4,4
INCAHUASI,atencion de partos en domicilio,primer control post parto,2021-03-01,6,6
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,primer control post parto,2021-03-01,10,10
LA ASUNTA,atencion de partos en domicilio,primer control post parto,2021-03-01,2,2
LA PAZ,atencion de partos en domicilio,primer control post parto,2021-03-01,5,5
LAGUNILLAS,atencion de partos en domicilio,primer control post parto,2021-03-01,2,2
LAS CARRERAS,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
LLALLAGUA,atencion de partos en domicilio,primer control post parto,2021-03-01,2,2
MONTEAGUDO,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
OCURI,atencion de partos en domicilio,primer control post parto,2021-03-01,11,11
ORURO,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
PAZÑA,atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
PELECHUCO,atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
POROMA,atencion de partos en domicilio,primer control post parto,2021-03-01,10,10
POTOSI,atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
PRESTO,atencion de partos en domicilio,primer control post parto,2021-03-01,9,9
PUERTO RICO,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
PUNA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
PUNATA,atencion de partos en domicilio,primer control post parto,2021-03-01,18,18
RIBERALTA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
SAIPINA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
SAN BORJA,atencion de partos en domicilio,primer control post parto,2021-03-01,5,5
SAN JULIAN,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,primer control post parto,2021-03-01,18,18
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
SAN RAFAEL,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
SANTA ANA,atencion de partos en domicilio,primer control post parto,2021-03-01,39,39
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,primer control post parto,2021-03-01,15,15
SANTA ROSA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
SICAYA,atencion de partos en domicilio,primer control post parto,2021-03-01,6,6
TARABUCO,atencion de partos en domicilio,primer control post parto,2021-03-01,3,3
TOLEDO,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
TOMAVE,atencion de partos en domicilio,primer control post parto,2021-03-01,6,6
TORO TORO,atencion de partos en domicilio,primer control post parto,2021-03-01,6,6
TUPIZA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
TURCO,atencion de partos en domicilio,primer control post parto,2021-03-01,2,2
UNCIA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
VILLA MONTES,atencion de partos en domicilio,primer control post parto,2021-03-01,19,19
VILLA SERRANO,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
VILLAZON,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
VITICHI,atencion de partos en domicilio,primer control post parto,2021-03-01,7,7
YANACACHI,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
YOCALLA,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,primer control post parto,2021-03-01,1,1
ACACIO,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
APOLO,atencion de partos en domicilio,primer control post parto,2021-04-01,7,7
ARAMPAMPA,atencion de partos en domicilio,primer control post parto,2021-04-01,3,3
ATOCHA,atencion de partos en domicilio,primer control post parto,2021-04-01,6,6
AUCAPATA,atencion de partos en domicilio,primer control post parto,2021-04-01,4,4
AYATA,atencion de partos en domicilio,primer control post parto,2021-04-01,10,10
BELEN DE ANDAMARCA,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
BELEN DE URMIRI,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
BERMEJO,atencion de partos en domicilio,primer control post parto,2021-04-01,13,13
BOYUIBE,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
CABEZAS,atencion de partos en domicilio,primer control post parto,2021-04-01,16,16
"CAIZA ""D""",atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
CARIPUYO,atencion de partos en domicilio,primer control post parto,2021-04-01,9,9
CHALLAPATA,atencion de partos en domicilio,primer control post parto,2021-04-01,6,6
CHAQUI,atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
CHAYANTA,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
CHUMA,atencion de partos en domicilio,primer control post parto,2021-04-01,15,15
CKOCHAS,atencion de partos en domicilio,primer control post parto,2021-04-01,5,5
COBIJA,atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
COLQUECHACA,atencion de partos en domicilio,primer control post parto,2021-04-01,12,12
CONCEPCION,atencion de partos en domicilio,primer control post parto,2021-04-01,3,3
COROICO,atencion de partos en domicilio,primer control post parto,2021-04-01,4,4
COTAGAITA,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
COTOCA,atencion de partos en domicilio,primer control post parto,2021-04-01,3,3
CULPINA,atencion de partos en domicilio,primer control post parto,2021-04-01,6,6
CURVA,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
EL ALTO,atencion de partos en domicilio,primer control post parto,2021-04-01,24,24
EL CHORO,atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,primer control post parto,2021-04-01,8,8
HUANUNI,atencion de partos en domicilio,primer control post parto,2021-04-01,3,3
HUMANATA,atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
ICLA,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
INCAHUASI,atencion de partos en domicilio,primer control post parto,2021-04-01,7,7
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,primer control post parto,2021-04-01,12,12
IXIAMAS,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
LA ASUNTA,atencion de partos en domicilio,primer control post parto,2021-04-01,6,6
LA GUARDIA,atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
LA PAZ,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
LAGUNILLAS,atencion de partos en domicilio,primer control post parto,2021-04-01,3,3
MOCOMOCO,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
MOJOCOYA,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
MORO MORO,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
OCURI,atencion de partos en domicilio,primer control post parto,2021-04-01,8,8
ORURO,atencion de partos en domicilio,primer control post parto,2021-04-01,38,38
PAILON,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
PAZÑA,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
PELECHUCO,atencion de partos en domicilio,primer control post parto,2021-04-01,13,13
POOPO,atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
PORCO,atencion de partos en domicilio,primer control post parto,2021-04-01,2,2
POROMA,atencion de partos en domicilio,primer control post parto,2021-04-01,3,3
POTOSI,atencion de partos en domicilio,primer control post parto,2021-04-01,11,11
PRESTO,atencion de partos en domicilio,primer control post parto,2021-04-01,5,5
PUERTO CARABUCO,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
RIBERALTA,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
RURRENABAQUE,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
SAN BORJA,atencion de partos en domicilio,primer control post parto,2021-04-01,7,7
SAN LORENZO(PND),atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,primer control post parto,2021-04-01,10,10
SAN PABLO DE LIPEZ,atencion de partos en domicilio,primer control post parto,2021-04-01,1,1
SAN PEDRO DE MACHA,atencion de partos en domicilio,primer control post parto,2021-04-01,16,16
