municipality,group,variable,month,RN con visita de control en las 48 hrs siguientes al nacimiento,TOTAL
ACACIO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,2,2
ACHACACHI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,24,24
ACHOCALLA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,8,8
AIQUILE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,1,1
ALALAY,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,2,2
ALTO BENI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,12,12
ANDAMARCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,1,1
ANZALDO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,3,3
APOLO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,7,7
ARAMPAMPA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,6,6
ARBIETO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,3,3
ARQUE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,14,14
ASCENCION DE GUARAYOS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,2,2
AUCAPATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,6,6
AYATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,8,8
AYO AYO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,17,17
AZURDUY,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,3,3
BATALLAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,13,13
BETANZOS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,10,10
BOLIVAR,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,4,4
BUENA VISTA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,1,1
CABEZAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,55,55
CAIROMA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,5,5
"CAIZA ""D""",atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,4,4
CAJUATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,2,2
CALACOTO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,3,3
CALAMARCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,10,10
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,3,3
CARACOLLO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,2,2
CARANAVI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,13,13
CARAPARI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,5,5
CATACORA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,1,1
CHACARILLA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2021-01-01,1,1
