municipality,group,variable,month,Nacidos muertos atendidos por partera,TOTAL
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-01-01,1.0,1.0
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-01-01,1.0,1.0
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-03-01,1.0,1.0
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-04-01,1.0,1.0
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-04-01,1.0,1.0
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-04-01,1.0,1.0
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-05-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-05-01,1.0,1.0
VILLA MONTES,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-05-01,1.0,1.0
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-06-01,1.0,1.0
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-07-01,1.0,1.0
TOTORA(CBBA),atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-07-01,1.0,1.0
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-07-01,1.0,1.0
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-08-01,1.0,1.0
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-09-01,1.0,1.0
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-09-01,2.0,2.0
URUBICHA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-09-01,1.0,1.0
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-10-01,11.0,11.0
TRINIDAD,atencion de partos en domicilio,nacidos muertos atendidos por partera,2021-11-01,1.0,1.0
