municipality,group,variable,month,Nacidos muertos atendidos por otros,TOTAL
EL TORNO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-01-01,1.0,1.0
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-01-01,1.0,1.0
SACABA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-03-01,1.0,1.0
FILADELFIA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-04-01,1.0,1.0
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-04-01,2.0,2.0
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-04-01,2.0,2.0
HUMANATA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-05-01,1.0,1.0
REYES,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-05-01,1.0,1.0
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-05-01,1.0,1.0
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-06-01,2.0,2.0
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-06-01,1.0,1.0
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-06-01,1.0,1.0
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-06-01,1.0,1.0
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-07-01,1.0,1.0
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-07-01,2.0,2.0
TOTORA(CBBA),atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-08-01,1.0,1.0
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-08-01,1.0,1.0
HUANUNI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-09-01,1.0,1.0
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-09-01,1.0,1.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-09-01,1.0,1.0
CORO CORO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-10-01,1.0,1.0
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-10-01,3.0,3.0
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-10-01,1.0,1.0
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-10-01,1.0,1.0
CAPINOTA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-11-01,1.0,1.0
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-11-01,1.0,1.0
SAN RAFAEL,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-11-01,1.0,1.0
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-11-01,1.0,1.0
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-11-01,1.0,1.0
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-12-01,1.0,1.0
TOTORA(CBBA),atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-12-01,1.0,1.0
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por otros,2021-12-01,1.0,1.0
