municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
APOLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CHACARILLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
CHUMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
COMBAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,3,3
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
PORCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
TARACO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,2,2
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
TOTORA(ORR),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,3,3
VILLA SERRANO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-01-01,1,1
ALALAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,3,3
CABEZAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
CLIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2021-02-01,1,1
