municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-01-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-01-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-02-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-02-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-02-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-02-01,2,2
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-03-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-03-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-03-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-03-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-04-01,1,1
GUAQUI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-04-01,1,1
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-05-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-05-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-05-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-05-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-05-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-05-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-05-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-05-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-06-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-06-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-06-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-07-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-07-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-07-01,1,1
REYES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-07-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-07-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-07-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-08-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-08-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-08-01,1,1
PALCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-08-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-08-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-08-01,1,1
CHARAÑA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-09-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-09-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-09-01,1,1
POOPO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-09-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-09-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-09-01,1,1
VITICHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-09-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-10-01,1,1
LORETO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-10-01,1,1
PALCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-10-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-10-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-10-01,1,1
AUCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-11-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-11-01,1,1
CURVA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-11-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-11-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-11-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-11-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-11-01,1,1
LAJA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-12-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-12-01,1,1
RAQAYPAMPA(ETA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-12-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2021-12-01,1,1
