municipality,group,variable,month,Nacidos vivos en mujeres de 15 a 49 años con 4 CPN,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,16,16
ACHOCALLA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,7,7
ALALAY,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
ALTO BENI,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,8,8
ANDAMARCA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,3,3
APOLO,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,3,3
ARQUE,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,8,8
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
AUCAPATA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
AYATA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
AYO AYO,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
AZURDUY,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,3,3
BATALLAS,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,6,6
BETANZOS,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
BOLIVAR,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,3,3
BUENA VISTA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,4,4
CALACOTO,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,3,3
CALAMARCA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,8,8
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,13,13
CARAPARI,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
CHACARILLA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,7,7
CHARAGUA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,9,9
CHIMORE,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,3,3
CHUMA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,2,2
CKOCHAS,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,14,14
COCAPATA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,8,8
COCHABAMBA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,3,3
COLQUECHACA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,10,10
COLQUENCHA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,7,7
COLQUIRI,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,8,8
CONCEPCION,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,4,4
COPACABANA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
CORIPATA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
COROICO,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
CORQUE,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,2,2
COTAGAITA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
COTOCA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,5,5
CULPINA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
CURVA,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
DESAGUADERO,atencion de partos en domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2021-01-01,1,1
