municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,11,11
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,5,5
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,5,5
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,11,11
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,5,5
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,7,7
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,7,7
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,6,6
CARAPARI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
CHACARILLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,6,6
CHOQUE COTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
CHUA COCANI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,7,7
COCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,7,7
COCHABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,4,4
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,9,9
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,4,4
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
COMBAYA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
COPACABANA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
COTOCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,5,5
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
CURVA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,4,4
EL CHORO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
ESCOMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
FILADELFIA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,4,4
GUAQUI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,4,4
GUTIERREZ,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
HUACARETA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
HUMANATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,7,7
ICHOCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,4,4
ICLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
INCAHUASI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,4,4
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,6,6
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
LA ASUNTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,5,5
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
LAS CARRERAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
LURIBAY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
MAGDALENA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
MALLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
MECAPACA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
MOCOMOCO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,6,6
MORO MORO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,5,5
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,13,13
ORURO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,9,9
PADCAYA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,6,6
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,9,9
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
PASORAPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
PATACAMAYA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
PAZÑA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
POCOATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,28,28
POCONA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
POOPO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,2,2
POROMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,3,3
PORONGO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,5,5
PUCARANI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2021-01-01,13,13
