municipality,group,variable,month,RN con malformación congénita,TOTAL
CHOQUE COTA,atencion de partos en domicilio,rn con malformacion congenita,2021-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con malformacion congenita,2021-01-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,rn con malformacion congenita,2021-01-01,1,1
SANTIAGO DE MACHACA,atencion de partos en domicilio,rn con malformacion congenita,2021-01-01,1,1
CARAPARI,atencion de partos en domicilio,rn con malformacion congenita,2021-02-01,1,1
INQUISIVI,atencion de partos en domicilio,rn con malformacion congenita,2021-02-01,1,1
MACHACAMARCA,atencion de partos en domicilio,rn con malformacion congenita,2021-02-01,1,1
RAVELO,atencion de partos en domicilio,rn con malformacion congenita,2021-02-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en domicilio,rn con malformacion congenita,2021-02-01,1,1
ARQUE,atencion de partos en domicilio,rn con malformacion congenita,2021-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con malformacion congenita,2021-03-01,1,1
HUACARETA,atencion de partos en domicilio,rn con malformacion congenita,2021-03-01,1,1
SORATA,atencion de partos en domicilio,rn con malformacion congenita,2021-03-01,1,1
TORO TORO,atencion de partos en domicilio,rn con malformacion congenita,2021-03-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,rn con malformacion congenita,2021-03-01,1,1
YAPACANI,atencion de partos en domicilio,rn con malformacion congenita,2021-03-01,1,1
YUNCHARA,atencion de partos en domicilio,rn con malformacion congenita,2021-03-01,1,1
AUCAPATA,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
CULPINA,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
EL ALTO,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
FILADELFIA,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
LA PAZ,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
POOPO,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
SORACACHI,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
VIACHA,atencion de partos en domicilio,rn con malformacion congenita,2021-04-01,1,1
AZURDUY,atencion de partos en domicilio,rn con malformacion congenita,2021-05-01,2,2
BUENA VISTA,atencion de partos en domicilio,rn con malformacion congenita,2021-05-01,1,1
PALCA,atencion de partos en domicilio,rn con malformacion congenita,2021-05-01,3,3
SAN BENITO,atencion de partos en domicilio,rn con malformacion congenita,2021-05-01,1,1
TOMAVE,atencion de partos en domicilio,rn con malformacion congenita,2021-05-01,1,1
AZURDUY,atencion de partos en domicilio,rn con malformacion congenita,2021-06-01,1,1
MECAPACA,atencion de partos en domicilio,rn con malformacion congenita,2021-06-01,1,1
POCOATA,atencion de partos en domicilio,rn con malformacion congenita,2021-06-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2021-06-01,1,1
