municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,24,24
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,8,8
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
ALTO BENI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,12,12
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,7,7
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,6,6
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,14,14
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,6,6
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,8,8
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,14,14
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,13,13
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,10,10
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,5,5
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,4,4
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,10,10
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,13,13
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,5,5
CHACARILLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,5,5
CHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,8,8
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
CHARAÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,16,16
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
CHUA COCANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,15,15
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,15,15
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,4,4
COLLANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,15,15
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,9,9
COLQUIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,8,8
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
COMBAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,4,4
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,7,7
CORIPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
COROICO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,5,5
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,4,4
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,5,5
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,4,4
DESAGUADERO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,13,13
EL CHORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,5,5
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,4,4
ESCOMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,7,7
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,2,2
GUAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,10,10
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
HUMANATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,7,7
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,5,5
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,4,4
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,10,10
INGAVI (HUMAITA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,14,14
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,7,7
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,3,3
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,8,8
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2021-01-01,10,10
