municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,55,55
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,2,2
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,3,3
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SAMAIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,13,13
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SAN PEDRO DE MACHA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SANTA ROSA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
SENA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,3,3
SORATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
TOLATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,2,2
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,2,2
YUNCHARA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-01-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,26,26
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
COROICO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,2,2
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,3,3
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2021-02-01,1,1
