,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales, repetidas,2014-01-01,24,3,27
ACHACACHI,consultas prenatales, repetidas,2014-01-01,213,3,216
ACHOCALLA,consultas prenatales, repetidas,2014-01-01,51,14,65
AIQUILE,consultas prenatales, repetidas,2014-01-01,205,3,208
ALALAY,consultas prenatales, repetidas,2014-01-01,0,4,4
ALCALA,consultas prenatales, repetidas,2014-01-01,20,0,20
ALTO BENI,consultas prenatales, repetidas,2014-01-01,61,2,63
ANCORAIMES,consultas prenatales, repetidas,2014-01-01,33,8,41
ANDAMARCA,consultas prenatales, repetidas,2014-01-01,5,4,9
ANTEQUERA,consultas prenatales, repetidas,2014-01-01,15,1,16
ANZALDO,consultas prenatales, repetidas,2014-01-01,21,4,25
APOLO,consultas prenatales, repetidas,2014-01-01,106,6,112
ARAMPAMPA,consultas prenatales, repetidas,2014-01-01,9,7,16
ARANI,consultas prenatales, repetidas,2014-01-01,108,1,109
ARBIETO,consultas prenatales, repetidas,2014-01-01,74,0,74
ARQUE,consultas prenatales, repetidas,2014-01-01,46,0,46
ASCENCION DE GUARAYOS,consultas prenatales, repetidas,2014-01-01,157,17,174
ATOCHA,consultas prenatales, repetidas,2014-01-01,59,1,60
AUCAPATA,consultas prenatales, repetidas,2014-01-01,8,4,12
AYATA,consultas prenatales, repetidas,2014-01-01,21,7,28
AYO AYO,consultas prenatales, repetidas,2014-01-01,41,0,41
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-01-01,93,4,97
AZURDUY,consultas prenatales, repetidas,2014-01-01,33,17,50
BATALLAS,consultas prenatales, repetidas,2014-01-01,79,1,80
BAURES,consultas prenatales, repetidas,2014-01-01,35,0,35
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-01-01,9,1,10
BELEN DE URMIRI,consultas prenatales, repetidas,2014-01-01,2,1,3
BELLA FLOR,consultas prenatales, repetidas,2014-01-01,14,0,14
BERMEJO,consultas prenatales, repetidas,2014-01-01,366,2,368
BETANZOS,consultas prenatales, repetidas,2014-01-01,138,18,156
BOLIVAR,consultas prenatales, repetidas,2014-01-01,12,3,15
BOLPEBRA,consultas prenatales, repetidas,2014-01-01,7,0,7
BOYUIBE,consultas prenatales, repetidas,2014-01-01,29,0,29
BUENA VISTA,consultas prenatales, repetidas,2014-01-01,56,0,56
CABEZAS,consultas prenatales, repetidas,2014-01-01,180,1,181
CAIROMA,consultas prenatales, repetidas,2014-01-01,30,0,30
"CAIZA ""D""",consultas prenatales, repetidas,2014-01-01,45,4,49
CAJUATA,consultas prenatales, repetidas,2014-01-01,76,1,77
CALACOTO,consultas prenatales, repetidas,2014-01-01,9,5,14
CALAMARCA,consultas prenatales, repetidas,2014-01-01,72,5,77
CAMARGO,consultas prenatales, repetidas,2014-01-01,113,14,127
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-01-01,18,4,22
CAMIRI,consultas prenatales, repetidas,2014-01-01,283,4,287
CAPINOTA,consultas prenatales, repetidas,2014-01-01,174,0,174
CAQUIAVIRI,consultas prenatales, repetidas,2014-01-01,34,6,40
CARACOLLO,consultas prenatales, repetidas,2014-01-01,118,2,120
CARANAVI,consultas prenatales, repetidas,2014-01-01,392,8,400
CARANGAS,consultas prenatales, repetidas,2014-01-01,1,0,1
CARAPARI,consultas prenatales, repetidas,2014-01-01,82,1,83
CARIPUYO,consultas prenatales, repetidas,2014-01-01,19,17,36
CARMEN RIVERO TORREZ,consultas prenatales, repetidas,2014-01-01,37,0,37
CATACORA,consultas prenatales, repetidas,2014-01-01,5,3,8
CHACARILLA,consultas prenatales, repetidas,2014-01-01,4,2,6
CHALLAPATA,consultas prenatales, repetidas,2014-01-01,249,20,269
CHAQUI,consultas prenatales, repetidas,2014-01-01,29,3,32
CHARAGUA,consultas prenatales, repetidas,2014-01-01,236,8,244
CHARAÑA,consultas prenatales, repetidas,2014-01-01,3,1,4
CHAYANTA,consultas prenatales, repetidas,2014-01-01,48,6,54
CHIMORE,consultas prenatales, repetidas,2014-01-01,133,1,134
CHIPAYA,consultas prenatales, repetidas,2014-01-01,9,0,9
CHOQUE COTA,consultas prenatales, repetidas,2014-01-01,5,0,5
CHUA COCANI,consultas prenatales, repetidas,2014-01-01,7,3,10
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, repetidas,2014-01-01,161,0,161
CHUMA,consultas prenatales, repetidas,2014-01-01,24,5,29
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, repetidas,2014-01-01,41,4,45
CKOCHAS,consultas prenatales, repetidas,2014-01-01,71,6,77
CLIZA,consultas prenatales, repetidas,2014-01-01,200,14,214
COBIJA,consultas prenatales, repetidas,2014-01-01,711,1,712
COCAPATA,consultas prenatales, repetidas,2014-01-01,21,17,38
COCHABAMBA,consultas prenatales, repetidas,2014-01-01,6601,5,6606
COLCAPIRHUA,consultas prenatales, repetidas,2014-01-01,473,0,473
"COLCHA ""K""",consultas prenatales, repetidas,2014-01-01,60,3,63
COLLANA,consultas prenatales, repetidas,2014-01-01,7,1,8
COLOMI,consultas prenatales, repetidas,2014-01-01,155,0,155
COLPA BELGICA,consultas prenatales, repetidas,2014-01-01,39,0,39
COLQUECHACA,consultas prenatales, repetidas,2014-01-01,105,31,136
COLQUENCHA,consultas prenatales, repetidas,2014-01-01,63,1,64
COLQUIRI,consultas prenatales, repetidas,2014-01-01,48,25,73
COMANCHE,consultas prenatales, repetidas,2014-01-01,1,1,2
COMARAPA,consultas prenatales, repetidas,2014-01-01,162,0,162
COMBAYA,consultas prenatales, repetidas,2014-01-01,3,4,7
CONCEPCION,consultas prenatales, repetidas,2014-01-01,154,5,159
COPACABANA,consultas prenatales, repetidas,2014-01-01,51,2,53
CORIPATA,consultas prenatales, repetidas,2014-01-01,82,0,82
CORO CORO,consultas prenatales, repetidas,2014-01-01,22,5,27
COROICO,consultas prenatales, repetidas,2014-01-01,127,0,127
CORQUE,consultas prenatales, repetidas,2014-01-01,22,7,29
COTAGAITA,consultas prenatales, repetidas,2014-01-01,102,13,115
COTOCA,consultas prenatales, repetidas,2014-01-01,450,0,450
CUATRO CAÑADAS,consultas prenatales, repetidas,2014-01-01,165,0,165
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, repetidas,2014-01-01,5,0,5
CUEVO,consultas prenatales, repetidas,2014-01-01,18,6,24
CULPINA,consultas prenatales, repetidas,2014-01-01,58,13,71
CURAHUARA DE CARANGAS,consultas prenatales, repetidas,2014-01-01,39,1,40
CURVA,consultas prenatales, repetidas,2014-01-01,4,5,9
DESAGUADERO,consultas prenatales, repetidas,2014-01-01,21,0,21
EL ALTO,consultas prenatales, repetidas,2014-01-01,6604,321,6925
EL CHORO,consultas prenatales, repetidas,2014-01-01,14,11,25
EL PUENTE(STC),consultas prenatales, repetidas,2014-01-01,77,1,78
EL PUENTE(TJA),consultas prenatales, repetidas,2014-01-01,54,6,60
EL TORNO,consultas prenatales, repetidas,2014-01-01,326,5,331
EL VILLAR,consultas prenatales, repetidas,2014-01-01,18,4,22
ENTRE RIOS TRJ,consultas prenatales, repetidas,2014-01-01,141,14,155
ENTRE RIOS CBBA,consultas prenatales, repetidas,2014-01-01,232,0,232
ESCOMA,consultas prenatales, repetidas,2014-01-01,51,0,51
EUCALIPTUS,consultas prenatales, repetidas,2014-01-01,20,0,20
EUREKA (SANTOS MERCADO),consultas prenatales, repetidas,2014-01-01,2,5,7
EXALTACION,consultas prenatales, repetidas,2014-01-01,7,0,7
FERNANDEZ ALONSO,consultas prenatales, repetidas,2014-01-01,76,0,76
FILADELFIA,consultas prenatales, repetidas,2014-01-01,39,2,41
GENERAL SAAVEDRA,consultas prenatales, repetidas,2014-01-01,107,1,108
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, repetidas,2014-01-01,17,2,19
GUANAY,consultas prenatales, repetidas,2014-01-01,128,5,133
GUAQUI,consultas prenatales, repetidas,2014-01-01,18,2,20
GUAYARAMERIN,consultas prenatales, repetidas,2014-01-01,472,1,473
GUTIERREZ,consultas prenatales, repetidas,2014-01-01,62,1,63
HUACARETA,consultas prenatales, repetidas,2014-01-01,41,7,48
HUACAYA (VILLA DE HUACAYA),consultas prenatales, repetidas,2014-01-01,5,12,17
HUACHACALLA,consultas prenatales, repetidas,2014-01-01,4,0,4
HUANUNI,consultas prenatales, repetidas,2014-01-01,239,1,240
HUARACAJE,consultas prenatales, repetidas,2014-01-01,34,0,34
HUARINA,consultas prenatales, repetidas,2014-01-01,17,1,18
HUATAJATA,consultas prenatales, repetidas,2014-01-01,17,1,18
HUAYLLAMARCA,consultas prenatales, repetidas,2014-01-01,17,1,18
HUMANATA,consultas prenatales, repetidas,2014-01-01,10,3,13
ICHOCA,consultas prenatales, repetidas,2014-01-01,6,6,12
ICLA,consultas prenatales, repetidas,2014-01-01,21,8,29
INCAHUASI,consultas prenatales, repetidas,2014-01-01,40,14,54
INGAVI (HUMAITA),consultas prenatales, repetidas,2014-01-01,6,0,6
INQUISIVI,consultas prenatales, repetidas,2014-01-01,29,15,44
IRUPANA (VILLA DE LANZA),consultas prenatales, repetidas,2014-01-01,84,0,84
IXIAMAS,consultas prenatales, repetidas,2014-01-01,55,5,60
JESUS DE MACHACA,consultas prenatales, repetidas,2014-01-01,55,2,57
LA ASUNTA,consultas prenatales, repetidas,2014-01-01,347,0,347
LA GUARDIA,consultas prenatales, repetidas,2014-01-01,644,0,644
LA PAZ,consultas prenatales, repetidas,2014-01-01,6704,2,6706
LAGUNILLAS,consultas prenatales, repetidas,2014-01-01,23,5,28
LAJA,consultas prenatales, repetidas,2014-01-01,39,1,40
