,group,variable,month,TOTAL 4.1 NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTAL 4.1 NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
ACHACACHI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,36,1,37
ACHOCALLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,15,6,21
AIQUILE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,39,0,39
ALALAY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,1,2
ALCALA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,0,6
ALTO BENI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,14,0,14
ANCORAIMES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,21,3,24
ANDAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,0,4
ANTEQUERA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
ANZALDO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
APOLO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,16,3,19
ARAMPAMPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,1,5
ARANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,15,1,16
ARBIETO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,27,0,27
ARQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,0,9
ASCENCION DE GUARAYOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,17,2,19
ATOCHA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,27,0,27
AUCAPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
AYATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,1,6
AYO AYO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,37,0,37
AZURDUY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,11,5,16
BATALLAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,16,0,16
BAURES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,0,9
BELEN DE ANDAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
BELEN DE URMIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,0,1,1
BELLA FLOR,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
BERMEJO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,68,0,68
BETANZOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,40,2,42
BOLIVAR,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
BOLPEBRA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
BOYUIBE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,1,7
BUENA VISTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,24,0,24
CABEZAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,46,4,50
CAIROMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,12,0,12
"CAIZA ""D""",consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,14,1,15
CAJUATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,19,0,19
CALACOTO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,1,3
CALAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,21,2,23
CAMARGO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,31,2,33
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
CAMIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,105,0,105
CAPINOTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,50,0,50
CAQUIAVIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,3,10
CARACOLLO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,30,0,30
CARANAVI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,80,1,81
CARAPARI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,28,0,28
CARIPUYO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,2,7
CARMEN RIVERO TORREZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
CATACORA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,1,4
CHACARILLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
CHALLAPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,48,1,49
CHAQUI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
CHARAGUA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,65,2,67
CHARAÑA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
CHAYANTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,15,4,19
CHIMORE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,53,2,55
CHIPAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
CHOQUE COTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
CHUA COCANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,42,0,42
CHUMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,2,11
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,10,1,11
CKOCHAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,1,9
CLIZA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,55,1,56
COBIJA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,155,1,156
COCAPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,16,3,19
COCHABAMBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2024,2,2026
COIPASA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
COLCAPIRHUA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,114,3,117
"COLCHA ""K""",consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,16,1,17
COLLANA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
COLOMI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,36,0,36
COLPA BELGICA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,15,0,15
COLQUECHACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,31,6,37
COLQUENCHA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,11,0,11
COLQUIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,13,8,21
COMANCHE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
COMARAPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,34,0,34
COMBAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,2,4
CONCEPCION,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,47,0,47
COPACABANA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,17,0,17
CORIPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,35,0,35
CORO CORO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,0,6
COROICO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,20,0,20
CORQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,1,6
COTAGAITA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,24,1,25
COTOCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,113,0,113
CUATRO CAÑADAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,27,0,27
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
CUEVO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,0,5
CULPINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,19,1,20
CURAHUARA DE CARANGAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
CURVA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,1,5
DESAGUADERO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,0,8
EL ALTO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1808,149,1957
EL CHORO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,3,8
EL PUENTE(STC),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,14,0,14
EL PUENTE(TJA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,14,0,14
EL TORNO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,110,0,110
