,group,variable,month,TOTAL 4.2 NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTAL 4.2 NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
ACHACACHI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,26,0,26
ACHOCALLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,13,4,17
AIQUILE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,1,13
ALALAY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
ALTO BENI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
ANCORAIMES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,3,10
ANDAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,1,3
ANTEQUERA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
ANZALDO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
APOLO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,19,0,19
ARAMPAMPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,1,1
ARANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
ARBIETO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
ARQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
ASCENCION DE GUARAYOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,11,18
ATOCHA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,22,0,22
AUCAPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
AYATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
AYO AYO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,50,0,50
AZURDUY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,1,3
BATALLAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,1,13
BAURES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
BELEN DE ANDAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
BELEN DE URMIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,2,3
BERMEJO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,33,0,33
BETANZOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,18,4,22
BOLIVAR,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
BOLPEBRA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
BOYUIBE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
BUENA VISTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,1,1
CABEZAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,1,9
CAIROMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
"CAIZA ""D""",consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
CAJUATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
CALACOTO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,1,2
CALAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,3,11
CAMARGO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,9,0,9
CAMIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,33,1,34
CAPINOTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,9,0,9
CAQUIAVIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
CARACOLLO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,19,1,20
CARANAVI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,45,3,48
CARAPARI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
CARIPUYO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,5,11
CARMEN RIVERO TORREZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
CATACORA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,1,1
CHALLAPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,23,4,27
CHAQUI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
CHARAGUA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,51,2,53
CHARAÑA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
CHAYANTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,17,2,19
CHIMORE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,23,2,25
CHIPAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
CHOQUE COTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
CHUMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,0,8
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
CKOCHAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,10,0,10
CLIZA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,17,6,23
COBIJA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,65,0,65
COCAPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,1,6
COCHABAMBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1504,4,1508
COIPASA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
COLCAPIRHUA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,80,4,84
"COLCHA ""K""",consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,2,8
COLLANA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
COLOMI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
COLPA BELGICA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
COLQUECHACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,15,5,20
COLQUENCHA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
COLQUIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
COMANCHE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
COMARAPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,13,0,13
COMBAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,2,2
CONCEPCION,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,15,0,15
COPACABANA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,13,4,17
CORIPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
CORO CORO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,0,8
COROICO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,31,0,31
CORQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,1,3
COTAGAITA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,2,14
COTOCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,62,0,62
CRUZ DE MACHACAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,1,1
CUATRO CAÑADAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,1,1
CUEVO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,2,2
CULPINA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
CURAHUARA DE CARANGAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
CURVA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,2,2
DESAGUADERO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
EL ALTO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,811,69,880
EL CHORO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,2,5
EL PUENTE(STC),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,1,5
EL PUENTE(TJA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
EL TORNO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,44,0,44
EL VILLAR,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
ENTRE RIOS TRJ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,13,1,14
