municipality,group,variable,month,Mujeres de 15 a 49 años 1ra dosis de dt,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,1,1
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,44,44
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,6,6
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,96,96
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,8,8
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,1,1
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,20,20
ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,2,2
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,12,12
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,107,107
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,13,13
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,16,16
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,54,54
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,7,7
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,1,1
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,13,13
AYATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,3,3
AYO AYO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,178,178
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,31,31
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,13,13
BAURES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,3,3
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,4,4
BELEN DE URMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,3,3
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,135,135
BETANZOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,1,1
BOLIVAR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,15,15
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,241,241
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,23,23
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,168,168
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,1,1
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,47,47
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,11,11
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,113,113
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,82,82
CAQUIAVIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,2,2
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,27,27
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,112,112
CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,1,1
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,45,45
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,27,27
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,98,98
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,17,17
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,45,45
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,48,48
CHOQUE COTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2008-01-01,1,1
