municipality,group,variable,month,Mujeres de 15 a 49 años 2da dosis de dt,TOTAL
ACACIO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,6,6
ACHACACHI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,16,16
ACHOCALLA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,5,5
AIQUILE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,27,27
ALALAY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,17,17
ALCALA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,7,7
ANCORAIMES,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,13,13
ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1,1
ANTEQUERA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,5,5
ANZALDO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,38,38
APOLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,3,3
ARANI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,7,7
ARBIETO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,52,52
ARQUE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,6,6
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,50,50
ATOCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,64,64
AZURDUY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,8,8
BATALLAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,10,10
BAURES,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1,1
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1,1
BERMEJO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,78,78
BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,318,318
CABEZAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,39,39
CAJUATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,28,28
CALACOTO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,8,8
CALAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,12,12
CAMARGO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,12,12
CAMIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,56,56
CAPINOTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,28,28
CAQUIAVIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1,1
CARACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,15,15
CARANAVI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,71,71
CARAPARI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,16,16
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,22,22
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,12,12
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,6,6
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,13,13
CHAYANTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,4,4
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,26,26
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,14,14
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,3,3
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,53,53
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,84,84
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1116,1116
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,102,102
COLLANA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,10,10
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,38,38
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,19,19
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1,1
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,5,5
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,30,30
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,29,29
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,49,49
COPACABANA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,2,2
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,9,9
CORO CORO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,6,6
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,14,14
CORQUE,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,2,2
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,74,74
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,51,51
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1,1
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,44,44
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,9,9
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,7,7
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,2265,2265
EL PUENTE(STC),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,19,19
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,15,15
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,105,105
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,25,25
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,77,77
EUCALIPTUS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,16,16
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,24,24
FILADELFIA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,3,3
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,42,42
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,9,9
GUANAY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,29,29
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,13,13
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,112,112
HUACARETA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,9,9
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,2,2
HUANUNI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,20,20
HUAYLLAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,12,12
ICHOCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,7,7
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,42,42
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,19,19
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,6,6
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,6,6
JESUS DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,13,13
LA ASUNTA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,7,7
LA GUARDIA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,104,104
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1441,1441
LAGUNILLAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,5,5
LAJA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,17,17
LAS CARRERAS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,8,8
LICOMA PAMPA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,18,18
LORETO,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,12,12
LURIBAY,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,1,1
MACHACAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,17,17
MACHARETI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,3,3
MAGDALENA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,38,38
MAIRANA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,10,10
MALLA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,3,3
MAPIRI,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,12,12
MECAPACA,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,8,8
MINEROS,otras vacunaciones,mujeres de 15 a 49 anos 2da dosis de dt,2008-01-01,73,73
